direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
LONG,2026-01-01T01:00,2984.32,2026-01-01T04:00,2975.35,3,-0.4,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-07T14:00,3191.54,150,6.91,Signal flip
LONG,2026-01-11T12:00,3114.16,2026-01-11T13:00,3109.46,1,-0.25,Signal flip
LONG,2026-01-11T14:00,3125.46,2026-01-11T22:00,3109.61,8,-0.61,Signal flip
LONG,2026-01-11T23:00,3123.45,2026-01-12T08:00,3115.47,9,-0.36,Signal flip
LONG,2026-01-12T15:00,3130.17,2026-01-12T17:00,3104.88,2,-0.91,Signal flip
LONG,2026-01-12T19:00,3121.83,2026-01-12T20:00,3102.57,1,-0.72,Signal flip
LONG,2026-01-13T03:00,3116.14,2026-01-16T15:00,3264.18,84,4.65,Signal flip
LONG,2026-01-16T17:00,3284.22,2026-01-16T18:00,3279.11,1,-0.26,Signal flip
LONG,2026-01-16T20:00,3292.82,2026-01-18T23:00,3284.03,51,-0.37,Signal flip
LONG,2026-01-26T18:00,2932.01,2026-01-26T19:00,2923.12,1,-0.4,Signal flip
LONG,2026-01-26T21:00,2928.97,2026-01-27T00:00,2921.06,3,-0.37,Signal flip
LONG,2026-01-27T01:00,2932.65,2026-01-27T08:00,2923.41,7,-0.42,Signal flip
LONG,2026-01-27T15:00,2937.45,2026-01-29T02:00,2959.23,35,0.64,Signal flip
LONG,2026-02-07T04:00,2087.4,2026-02-07T05:00,2083.79,1,-0.27,Signal flip
LONG,2026-02-07T18:00,2097.1,2026-02-08T16:00,2080.97,22,-0.87,Signal flip
LONG,2026-02-08T17:00,2092.13,2026-02-09T00:00,2084.48,7,-0.47,Signal flip
LONG,2026-02-09T03:00,2100.25,2026-02-09T06:00,2081.43,3,-1.0,Signal flip
LONG,2026-02-09T16:00,2091.21,2026-02-10T03:00,2064.96,11,-1.36,Signal flip
LONG,2026-02-13T14:00,1990.86,2026-02-15T12:00,2011.0,46,0.91,Signal flip
LONG,2026-02-17T18:00,1998.69,2026-02-17T22:00,1993.92,4,-0.34,Signal flip
LONG,2026-02-18T03:00,1997.07,2026-02-18T11:00,1981.43,8,-0.88,Signal flip
LONG,2026-02-20T09:00,1968.15,2026-02-20T10:00,1957.54,1,-0.64,Signal flip
LONG,2026-02-20T16:00,1968.62,2026-02-20T19:00,1963.69,3,-0.35,Signal flip
LONG,2026-02-20T20:00,1971.05,2026-02-21T00:00,1963.22,4,-0.5,Signal flip
LONG,2026-02-21T01:00,1966.24,2026-02-21T02:00,1965.69,1,-0.13,Signal flip
LONG,2026-02-21T08:00,1969.0,2026-02-22T12:00,1966.37,28,-0.23,Signal flip
LONG,2026-02-25T01:00,1918.34,2026-02-25T05:00,1887.98,4,-1.68,Signal flip
LONG,2026-02-25T07:00,1893.31,2026-02-27T10:00,1980.8,51,4.52,Signal flip
LONG,2026-02-28T19:00,1947.02,2026-03-01T17:00,1961.17,22,0.63,Signal flip
LONG,2026-03-01T18:00,1975.82,2026-03-01T19:00,1953.9,1,-1.21,Signal flip
LONG,2026-03-02T00:00,1960.86,2026-03-02T02:00,1955.63,2,-0.37,Signal flip
LONG,2026-03-02T03:00,1972.3,2026-03-02T06:00,1943.31,3,-1.57,Signal flip
LONG,2026-03-02T14:00,1979.75,2026-03-03T08:00,1953.1,18,-1.45,Signal flip
LONG,2026-03-03T16:00,1983.98,2026-03-03T21:00,1968.46,5,-0.88,Signal flip
LONG,2026-03-03T22:00,1983.31,2026-03-04T00:00,1976.68,2,-0.43,Signal flip
LONG,2026-03-04T01:00,1981.73,2026-03-04T03:00,1960.9,2,-1.15,Signal flip
LONG,2026-03-04T06:00,1980.33,2026-03-06T09:00,2060.0,51,3.92,Signal flip
LONG,2026-03-06T10:00,2063.4,2026-03-06T11:00,2051.03,1,-0.7,Signal flip
LONG,2026-03-09T05:00,2010.6,2026-03-11T05:00,2014.63,48,0.1,Signal flip
LONG,2026-03-11T06:00,2024.3,2026-03-11T07:00,2012.54,1,-0.68,Signal flip
LONG,2026-03-11T08:00,2023.76,2026-03-11T09:00,2017.87,1,-0.39,Signal flip
LONG,2026-03-11T10:00,2028.68,2026-03-11T11:00,2017.8,1,-0.64,Signal flip
LONG,2026-03-11T12:00,2023.09,2026-03-12T02:00,2024.67,14,-0.02,Signal flip
LONG,2026-03-12T06:00,2030.38,2026-03-14T08:00,2074.34,50,2.07,Signal flip
LONG,2026-03-14T13:00,2078.51,2026-03-14T14:00,2071.22,1,-0.45,Signal flip
LONG,2026-03-14T16:00,2077.54,2026-03-14T17:00,2075.14,1,-0.22,Signal flip
LONG,2026-03-14T18:00,2076.91,2026-03-18T12:00,2237.49,90,7.63,Signal flip
LONG,2026-03-23T11:00,2134.78,2026-03-24T16:00,2127.2,29,-0.46,Signal flip
LONG,2026-03-24T20:00,2148.48,2026-03-26T05:00,2119.55,33,-1.45,Signal flip
LONG,2026-03-30T02:00,2029.93,2026-03-30T18:00,2032.61,16,0.03,Signal flip
LONG,2026-03-30T21:00,2036.0,2026-03-30T22:00,2033.08,1,-0.24,Signal flip
LONG,2026-03-31T00:00,2036.65,2026-03-31T09:00,2018.37,9,-1.0,Signal flip
LONG,2026-03-31T11:00,2041.2,2026-04-02T02:00,2073.89,39,1.5,Signal flip
LONG,2026-04-04T19:00,2064.71,2026-04-05T01:00,2057.37,6,-0.46,Signal flip
LONG,2026-04-05T17:00,2062.53,2026-04-07T10:00,2089.32,41,1.2,Signal flip
LONG,2026-04-07T17:00,2099.5,2026-04-07T18:00,2086.3,1,-0.73,Signal flip
LONG,2026-04-07T19:00,2113.39,2026-04-12T01:00,2219.05,102,4.9,Signal flip
LONG,2026-04-13T13:00,2215.47,2026-04-13T15:00,2209.28,2,-0.38,Signal flip
LONG,2026-04-13T16:00,2225.86,2026-04-16T13:00,2308.29,69,3.6,Signal flip
LONG,2026-04-16T15:00,2339.01,2026-04-16T16:00,2316.76,1,-1.05,Signal flip
LONG,2026-04-16T17:00,2325.79,2026-04-17T05:00,2319.29,12,-0.38,Signal flip
LONG,2026-04-17T06:00,2331.09,2026-04-18T10:00,2359.34,28,1.11,Signal flip
LONG,2026-04-18T14:00,2365.23,2026-04-18T16:00,2360.87,2,-0.28,Signal flip
LONG,2026-04-20T18:00,2334.23,2026-04-20T21:00,2321.65,3,-0.64,Signal flip
LONG,2026-04-21T08:00,2323.43,2026-04-21T11:00,2320.45,3,-0.23,Signal flip
LONG,2026-04-21T23:00,2327.14,2026-04-23T03:00,2340.81,28,0.49,Signal flip
LONG,2026-04-23T06:00,2354.43,2026-04-23T07:00,2344.43,1,-0.52,Signal flip
LONG,2026-04-26T05:00,2327.84,2026-04-27T05:00,2323.18,24,-0.3,Signal flip
LONG,2026-04-29T03:00,2311.52,2026-04-29T13:00,2303.03,10,-0.47,Signal flip
LONG,2026-05-01T03:00,2282.87,2026-05-01T04:00,2280.12,1,-0.22,Signal flip
LONG,2026-05-01T05:00,2283.26,2026-05-01T06:00,2277.45,1,-0.35,Signal flip
LONG,2026-05-01T08:00,2286.92,2026-05-01T20:00,2285.19,12,-0.18,Signal flip
LONG,2026-05-01T21:00,2292.68,2026-05-06T14:00,2359.23,113,2.8,Signal flip
LONG,2026-05-09T15:00,2317.63,2026-05-11T10:00,2329.94,43,0.43,Signal flip
LONG,2026-05-11T11:00,2335.8,2026-05-11T12:00,2329.5,1,-0.37,Signal flip
LONG,2026-05-11T15:00,2333.48,2026-05-11T16:00,2329.78,1,-0.26,Signal flip
LONG,2026-05-11T17:00,2336.71,2026-05-12T01:00,2311.41,8,-1.18,Signal flip
LONG,2026-05-13T08:00,2316.64,2026-05-13T10:00,2308.46,2,-0.45,Signal flip
LONG,2026-05-14T14:00,2286.99,2026-05-14T23:00,2283.25,9,-0.26,Signal flip
LONG,2026-05-15T00:00,2291.39,2026-05-15T01:00,2275.45,1,-0.8,Signal flip
LONG,2026-05-21T00:00,2142.92,2026-05-21T05:00,2136.3,5,-0.41,Signal flip
LONG,2026-05-21T17:00,2146.6,2026-05-21T18:00,2126.87,1,-1.02,Signal flip
LONG,2026-05-21T19:00,2142.83,2026-05-21T21:00,2135.42,2,-0.45,Signal flip
