open_time_ms,open_time_utc,open,high,low,close,volume
1767225600000,2026-01-01 00:00:00,2971.65,2974.82,2971.15,2974.56,462.5299
1767225900000,2026-01-01 00:05:00,2974.57,2980.59,2974.57,2978.08,2128.4402
1767226200000,2026-01-01 00:10:00,2978.08,2978.5,2976.21,2976.22,208.9212
1767226500000,2026-01-01 00:15:00,2976.22,2978.0,2976.22,2977.62,129.3527
1767226800000,2026-01-01 00:20:00,2977.61,2979.9,2977.61,2978.42,165.1047
1767227100000,2026-01-01 00:25:00,2978.43,2980.31,2978.42,2979.75,154.981
1767227400000,2026-01-01 00:30:00,2979.74,2980.6,2978.49,2980.12,246.6371
1767227700000,2026-01-01 00:35:00,2980.11,2980.6,2978.42,2979.56,264.8395
1767228000000,2026-01-01 00:40:00,2979.57,2980.0,2979.0,2979.63,76.3077
1767228300000,2026-01-01 00:45:00,2979.64,2981.84,2979.11,2981.84,214.2853
1767228600000,2026-01-01 00:50:00,2981.84,2982.83,2980.25,2980.25,318.2876
1767228900000,2026-01-01 00:55:00,2980.25,2980.98,2979.8,2979.81,115.5621
1767229200000,2026-01-01 01:00:00,2979.81,2981.95,2979.8,2981.48,121.8038
1767229500000,2026-01-01 01:05:00,2981.48,2984.86,2981.0,2984.85,446.0509
1767229800000,2026-01-01 01:10:00,2984.85,2986.83,2983.56,2986.07,667.5411
1767230100000,2026-01-01 01:15:00,2986.07,2988.96,2985.15,2985.33,739.5399
1767230400000,2026-01-01 01:20:00,2985.33,2985.33,2982.76,2984.7,387.8894
1767230700000,2026-01-01 01:25:00,2984.69,2984.9,2982.42,2982.43,227.4696
1767231000000,2026-01-01 01:30:00,2982.42,2983.7,2981.02,2981.04,390.8749
1767231300000,2026-01-01 01:35:00,2981.04,2982.55,2979.18,2982.17,941.2713
1767231600000,2026-01-01 01:40:00,2982.17,2986.45,2982.17,2986.44,295.3078
1767231900000,2026-01-01 01:45:00,2986.45,2986.99,2984.4,2984.48,513.4236
