Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Exposure_Pct,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct
6,46,17.79,29.2,36.6,21.95,0.86,1.33,29.13,1.29,103,48.98,0.21,27.9,-4.6
6,47,17.21,28.19,36.01,22.89,0.83,1.23,29.0,1.28,100,49.0,0.21,27.9,-4.6
6,48,16.82,27.54,35.63,23.74,0.82,1.16,28.71,1.28,101,48.95,0.21,27.9,-4.6
6,49,18.91,31.12,37.72,22.24,0.89,1.4,29.29,1.31,99,48.96,0.23,27.9,-4.68
6,50,18.86,31.04,37.67,22.83,0.89,1.36,30.21,1.32,96,48.98,0.24,27.9,-4.68
6,51,16.82,27.53,35.63,22.82,0.82,1.21,29.47,1.3,95,48.95,0.22,27.9,-4.68
6,52,16.54,27.05,35.35,23.19,0.81,1.17,29.79,1.29,94,48.93,0.22,27.9,-4.68
6,53,16.23,26.52,35.04,23.74,0.8,1.12,30.77,1.29,91,48.95,0.22,27.9,-4.68
6,54,14.29,23.24,33.1,24.59,0.73,0.95,30.77,1.27,91,48.86,0.2,27.9,-4.68
6,55,15.76,25.73,34.57,23.97,0.78,1.07,30.0,1.29,90,48.86,0.22,27.9,-4.68
6,56,15.87,25.91,34.68,24.0,0.79,1.08,30.68,1.29,88,48.89,0.23,27.9,-4.68
6,57,18.89,31.09,37.7,22.04,0.89,1.41,31.4,1.34,86,48.77,0.26,27.9,-4.68
6,58,16.59,27.13,35.39,23.29,0.81,1.16,29.89,1.3,87,48.62,0.24,27.9,-4.68
6,59,13.55,21.99,32.35,26.62,0.71,0.83,31.4,1.26,86,48.48,0.21,27.9,-4.68
6,60,13.17,21.35,31.98,27.28,0.69,0.78,32.94,1.25,85,48.34,0.21,27.9,-4.68
6,61,11.69,18.89,30.5,28.55,0.64,0.66,31.4,1.22,86,48.27,0.19,27.9,-4.68
6,62,13.06,21.16,31.86,27.84,0.69,0.76,30.95,1.24,84,48.25,0.21,27.9,-4.68
6,63,13.87,22.53,32.68,27.23,0.72,0.83,31.33,1.25,83,48.21,0.22,27.9,-4.68
6,64,10.99,17.71,29.8,27.79,0.62,0.64,27.91,1.21,86,48.16,0.18,27.18,-4.68
6,65,10.31,16.59,29.12,27.21,0.59,0.61,26.97,1.21,89,48.23,0.17,27.18,-4.68
6,66,9.56,15.35,28.37,28.24,0.56,0.54,25.29,1.19,87,48.21,0.16,27.18,-4.68
6,67,12.11,19.58,30.92,26.76,0.66,0.73,25.61,1.23,82,48.14,0.2,27.18,-4.68
6,68,11.33,18.28,30.14,27.27,0.63,0.67,25.93,1.22,81,48.05,0.2,27.18,-4.68
6,69,10.7,17.24,29.51,27.29,0.61,0.63,25.93,1.21,81,47.98,0.19,27.18,-4.68
6,70,10.92,17.6,29.73,26.63,0.62,0.66,26.58,1.22,79,47.88,0.2,27.18,-4.68
6,71,11.67,18.85,30.48,26.13,0.64,0.72,25.93,1.23,81,47.7,0.2,27.18,-4.68
6,72,14.03,22.81,32.84,24.16,0.73,0.94,25.0,1.27,80,47.73,0.23,27.18,-4.68
6,73,10.98,17.7,29.79,26.23,0.62,0.67,25.32,1.22,79,47.64,0.2,27.18,-4.68
6,74,11.83,19.12,30.64,27.21,0.65,0.7,24.36,1.24,78,47.5,0.21,27.18,-4.68
6,75,11.76,18.99,30.57,27.23,0.65,0.7,23.38,1.24,77,47.36,0.21,27.18,-4.68
6,76,16.04,26.2,34.85,24.79,0.8,1.06,23.68,1.31,76,47.27,0.26,27.18,-4.68
6,77,15.85,25.88,34.66,25.08,0.8,1.03,22.97,1.31,74,47.16,0.27,27.18,-4.68
6,78,14.2,23.09,33.01,25.63,0.74,0.9,23.29,1.28,73,47.12,0.25,27.18,-4.68
