Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Expectancy_Pct,Total_Trades,Avg_Holding_Hours,Avg_Win_Pct,Avg_Loss_Pct,Win_Loss_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,Peak_Time,MDD_Trough_Time,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
5,22,17.51,28.71,36.32,24.31,0.83,0.86,1.18,27.16,1.21,0.14,162,17.3,2.91,-0.89,3.25,3,11,26.6,-6.55,50.07,5,3,Aug_2026 (+18.34%),Jun_2026 (-10.70%),2026-08-22T00:00:00,2026-07-01T10:00:00,6.66,-1.58,4.9,3.92,-9.13,-10.7,6.94,18.34
5,23,21.47,35.56,40.28,23.74,0.97,1.0,1.5,27.95,1.26,0.16,161,17.4,2.8,-0.86,3.24,3,10,26.6,-6.55,49.91,6,2,Aug_2026 (+18.30%),Jun_2026 (-10.11%),2026-08-22T00:00:00,2026-07-01T10:00:00,6.4,1.01,4.9,4.49,-9.2,-10.11,6.81,18.3
5,24,21.26,35.19,40.07,24.85,0.96,1.0,1.42,28.3,1.26,0.16,159,17.5,2.78,-0.87,3.18,3,10,26.6,-7.0,49.8,6,2,Aug_2026 (+18.69%),Jun_2026 (-11.22%),2026-08-22T00:00:00,2026-07-01T10:00:00,7.12,2.16,3.67,4.49,-8.92,-11.22,6.58,18.69
5,25,18.87,31.05,37.68,23.49,0.88,0.91,1.32,28.76,1.24,0.15,153,18.3,2.79,-0.91,3.06,2,10,26.6,-7.0,49.89,6,2,Aug_2026 (+18.98%),Jun_2026 (-9.92%),2026-08-22T00:00:00,2026-08-19T02:00:00,5.72,1.9,4.36,3.07,-8.17,-9.92,4.22,18.98
5,26,11.34,18.3,30.15,26.79,0.62,0.64,0.68,27.92,1.16,0.11,154,18.1,2.8,-0.93,3.0,2,10,26.6,-7.0,49.66,5,3,Aug_2026 (+18.86%),Jun_2026 (-10.70%),2026-03-17T01:00:00,2026-08-19T02:00:00,5.79,-0.31,4.02,0.46,-8.42,-10.7,3.93,18.86
5,27,18.0,29.55,36.81,22.94,0.85,0.88,1.29,28.77,1.23,0.16,146,19.1,2.87,-0.94,3.05,2,10,26.6,-7.0,49.86,6,2,Aug_2026 (+18.67%),Jun_2026 (-7.99%),2026-08-22T00:00:00,2026-08-19T02:00:00,4.0,2.1,4.02,0.9,-6.43,-7.99,3.64,18.67
5,28,7.09,11.31,25.9,26.47,0.47,0.48,0.43,27.08,1.13,0.09,144,19.5,2.96,-0.98,3.03,3,14,26.6,-7.0,50.02,4,4,Aug_2026 (+19.70%),May_2026 (-9.35%),2026-03-17T01:00:00,2026-08-19T02:00:00,4.27,-1.01,-0.15,1.06,-9.35,-8.78,3.85,19.7
5,29,11.21,18.08,30.01,23.7,0.62,0.63,0.76,28.87,1.17,0.12,142,19.7,2.81,-0.98,2.88,2,13,26.6,-7.0,50.0,5,3,Aug_2026 (+18.73%),May_2026 (-8.80%),2026-08-22T00:00:00,2026-07-01T10:00:00,4.57,-2.16,0.13,0.55,-8.8,-5.51,5.53,18.73
5,30,11.13,17.95,29.94,24.45,0.62,0.66,0.73,28.37,1.17,0.12,141,19.8,2.79,-0.95,2.96,2,14,26.6,-4.6,49.84,5,3,Aug_2026 (+18.13%),May_2026 (-8.91%),2026-08-22T00:00:00,2026-06-02T05:00:00,4.87,-7.24,0.03,0.66,-8.91,-0.34,5.8,18.13
5,31,9.86,15.84,28.67,25.82,0.57,0.61,0.61,28.37,1.16,0.11,141,19.9,2.74,-0.94,2.93,2,14,26.6,-4.6,49.98,5,3,Aug_2026 (+17.82%),May_2026 (-9.04%),2026-01-14T20:00:00,2026-06-02T05:00:00,3.99,-7.41,-0.09,0.13,-9.04,0.1,6.32,17.82
5,32,7.23,11.53,26.03,28.09,0.47,0.5,0.41,27.94,1.13,0.09,136,20.6,2.86,-0.98,2.92,3,12,26.6,-4.6,50.14,4,4,Aug_2026 (+17.69%),May_2026 (-8.77%),2026-01-14T20:00:00,2026-06-02T05:00:00,3.61,-8.29,-1.05,-1.52,-8.77,0.77,7.04,17.69
5,33,11.46,18.5,30.27,25.32,0.63,0.68,0.73,28.68,1.18,0.12,136,20.6,2.8,-0.96,2.93,3,12,26.6,-4.6,50.07,5,3,Aug_2026 (+17.61%),May_2026 (-9.10%),2026-08-22T00:00:00,2026-06-02T05:00:00,4.61,-8.85,2.68,-1.18,-9.1,0.68,7.03,17.61
5,34,11.64,18.79,30.45,24.33,0.64,0.68,0.77,28.26,1.18,0.12,138,20.3,2.77,-0.93,3.0,4,13,26.6,-4.6,50.02,4,4,Aug_2026 (+17.05%),Feb_2026 (-8.55%),2026-08-22T00:00:00,2026-06-02T05:00:00,5.3,-8.55,1.95,-1.32,-8.05,-0.59,7.69,17.05
5,35,11.4,18.4,30.21,24.69,0.63,0.67,0.75,28.46,1.18,0.13,130,21.5,2.91,-0.98,2.97,3,12,27.13,-4.6,49.86,4,4,Aug_2026 (+18.58%),Feb_2026 (-9.87%),2026-08-22T00:00:00,2026-07-01T10:00:00,6.84,-9.87,0.44,-0.37,-7.21,-1.65,6.83,18.58
5,36,12.51,20.26,31.32,24.64,0.67,0.71,0.82,27.2,1.19,0.14,125,22.3,3.18,-0.99,3.2,4,12,27.13,-4.6,49.77,5,3,Aug_2026 (+18.17%),Feb_2026 (-10.10%),2026-08-22T00:00:00,2026-06-02T04:00:00,7.35,-10.1,0.21,-1.12,-7.24,0.58,6.73,18.17
5,37,13.77,22.35,32.57,24.09,0.71,0.76,0.93,26.61,1.21,0.15,124,22.4,3.25,-0.97,3.34,4,12,27.13,-4.6,49.7,5,3,Aug_2026 (+17.95%),Feb_2026 (-10.57%),2026-08-22T00:00:00,2026-07-01T10:00:00,7.66,-10.57,1.73,-2.01,-7.23,0.13,8.19,17.95
5,38,16.49,26.97,35.3,22.93,0.81,0.86,1.18,27.27,1.24,0.17,121,22.9,3.27,-0.99,3.31,3,12,27.13,-4.6,49.41,5,3,Aug_2026 (+18.54%),Feb_2026 (-9.63%),2026-08-22T00:00:00,2026-03-03T08:00:00,7.92,-9.63,2.16,-1.96,-6.92,0.65,7.38,18.54
5,39,16.04,26.2,34.85,22.95,0.79,0.84,1.14,27.27,1.24,0.17,121,22.7,3.2,-0.97,3.31,3,12,27.15,-4.6,49.12,5,3,Aug_2026 (+19.05%),Feb_2026 (-8.62%),2026-08-22T00:00:00,2026-06-02T01:00:00,7.55,-8.62,2.33,-3.38,-7.01,0.46,7.38,19.05
5,40,17.61,28.89,36.42,21.53,0.85,0.91,1.34,27.5,1.26,0.18,120,22.9,3.2,-0.96,3.32,3,12,27.15,-4.6,49.11,5,3,Aug_2026 (+19.05%),May_2026 (-7.63%),2026-08-22T00:00:00,2026-06-02T01:00:00,7.73,-6.4,1.81,-2.91,-7.63,0.08,7.21,19.05
