open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2026-01-01 00:00:00+00:00,2971.65,2982.83,2971.15,2979.81,4485.249,2026-01-01 00:59:59.999000+00:00,13357536.178466,58067,2996.65890000,8923755.37067700,0
2026-01-01 01:00:00+00:00,2979.81,2988.96,2979.18,2984.32,5567.1123,2026-01-01 01:59:59.999000+00:00,16614194.098788,74268,3061.71300000,9137186.09413500,0
2026-01-01 02:00:00+00:00,2984.33,2987.82,2980.9,2982.49,2432.7484,2026-01-01 02:59:59.999000+00:00,7260230.060145,47059,1116.56840000,3332063.47326100,0
2026-01-01 03:00:00+00:00,2982.5,2986.18,2979.53,2980.0,1792.594,2026-01-01 03:59:59.999000+00:00,5346993.215516,28890,1011.53040000,3017148.76342600,0
2026-01-01 04:00:00+00:00,2979.99,2980.97,2972.99,2975.35,9657.7273,2026-01-01 04:59:59.999000+00:00,28738126.507735,55445,5812.86270000,17293952.46530000,0
2026-01-01 05:00:00+00:00,2975.36,2983.79,2975.36,2981.49,3930.8339,2026-01-01 05:59:59.999000+00:00,11719034.448994,41178,1828.11540000,5450129.13813100,0
2026-01-01 06:00:00+00:00,2981.49,2981.49,2975.89,2975.89,5734.3199,2026-01-01 06:59:59.999000+00:00,17079906.256429,29839,3086.90510000,9193771.34410200,0
2026-01-01 07:00:00+00:00,2975.9,2980.89,2975.89,2978.53,4796.4934,2026-01-01 07:59:59.999000+00:00,14287092.987027,33311,2518.89680000,7501850.64753700,0
2026-01-01 08:00:00+00:00,2978.52,2983.0,2977.8,2982.59,4031.4569,2026-01-01 08:59:59.999000+00:00,12016884.751471,25113,2000.40440000,5962190.16653800,0
2026-01-01 09:00:00+00:00,2982.59,2987.41,2982.15,2984.0,4401.4657,2026-01-01 09:59:59.999000+00:00,13136415.94745,34722,1411.34090000,4211752.55031700,0
2026-01-01 10:00:00+00:00,2984.0,2985.77,2982.14,2985.0,3019.3844,2026-01-01 10:59:59.999000+00:00,9009541.783488,18007,907.82580000,2708435.69019600,0
2026-01-01 11:00:00+00:00,2984.99,2993.2,2984.99,2989.69,7206.3942,2026-01-01 11:59:59.999000+00:00,21532164.067947,43975,3663.15680000,10946413.85075300,0
2026-01-01 12:00:00+00:00,2989.7,2990.45,2983.36,2987.69,5019.2102,2026-01-01 12:59:59.999000+00:00,14992414.023747,50121,1592.32020000,4756488.51497900,0
2026-01-01 13:00:00+00:00,2987.7,2990.09,2982.02,2982.96,5342.5982,2026-01-01 13:59:59.999000+00:00,15951787.220727,44531,2760.65670000,8242027.87421800,0
2026-01-01 14:00:00+00:00,2982.96,2986.45,2977.74,2985.15,7710.2233,2026-01-01 14:59:59.999000+00:00,22989047.096669,61445,2699.14870000,8047544.68999800,0
2026-01-01 15:00:00+00:00,2985.16,2994.87,2980.75,2989.87,6148.7542,2026-01-01 15:59:59.999000+00:00,18372982.256411,92187,2974.87050000,8887921.96796900,0
2026-01-01 16:00:00+00:00,2989.87,2990.84,2980.75,2982.29,6839.019,2026-01-01 16:59:59.999000+00:00,20412678.933309,72280,3486.21610000,10405034.03018400,0
2026-01-01 17:00:00+00:00,2982.28,3005.98,2980.89,2990.44,12755.5547,2026-01-01 17:59:59.999000+00:00,38187536.171181,137226,6756.02350000,20226561.11244200,0
2026-01-01 18:00:00+00:00,2990.44,2992.74,2985.15,2990.41,5776.0082,2026-01-01 18:59:59.999000+00:00,17263290.581974,69686,2449.74340000,7321780.89147700,0
2026-01-01 19:00:00+00:00,2990.4,2998.04,2987.23,2995.42,3186.6777,2026-01-01 19:59:59.999000+00:00,9533016.30576,46983,2003.09240000,5992217.27869200,0
2026-01-01 20:00:00+00:00,2995.42,2997.15,2987.54,2989.08,3766.7199,2026-01-01 20:59:59.999000+00:00,11267754.657571,58536,1802.72390000,5392647.52192400,0
2026-01-01 21:00:00+00:00,2989.09,2993.06,2987.66,2989.66,1999.5442,2026-01-01 21:59:59.999000+00:00,5978738.94267,35422,1121.25400000,3352660.38928900,0
2026-01-01 22:00:00+00:00,2989.66,3000.26,2987.57,2999.3,5488.851,2026-01-01 22:59:59.999000+00:00,16435504.290062,57031,2963.10780000,8871849.47561000,0
2026-01-01 23:00:00+00:00,2999.29,3010.0,2990.98,3004.19,14999.5807,2026-01-01 23:59:59.999000+00:00,45064796.314617,122890,6451.95020000,19383195.89351300,0
2026-01-02 00:00:00+00:00,3004.19,3008.48,2995.38,3006.14,6882.9784,2026-01-02 00:59:59.999000+00:00,20660860.039191,103041,4081.56010000,12252762.85739900,0
2026-01-02 01:00:00+00:00,3006.15,3008.08,2998.46,3002.98,3264.9972,2026-01-02 01:59:59.999000+00:00,9805598.805134,69965,1701.14410000,5108887.80966300,0
2026-01-02 02:00:00+00:00,3002.99,3003.65,2992.49,3002.29,5269.2052,2026-01-02 02:59:59.999000+00:00,15796691.164281,73643,3567.03830000,10694873.50841600,0
2026-01-02 03:00:00+00:00,3002.29,3035.0,3000.0,3022.53,24828.426,2026-01-02 03:59:59.999000+00:00,74995050.408899,237222,14972.26640000,45208283.00101900,0
