direction,entry_time,entry_price,exit_time,exit_price,duration,pnl,reason
LONG,2026-01-01T01:00,2984.32,2026-01-01T04:00,2975.35,3,-0.4,Signal flip
LONG,2026-01-01T05:00,2981.49,2026-01-01T06:00,2975.89,1,-0.29,Signal flip
LONG,2026-01-01T08:00,2982.59,2026-01-08T06:00,3105.38,166,4.02,Signal flip
LONG,2026-01-08T17:00,3134.95,2026-01-08T18:00,3120.22,1,-0.57,Signal flip
LONG,2026-01-09T16:00,3133.13,2026-01-09T17:00,3114.41,1,-0.7,Signal flip
LONG,2026-01-11T14:00,3125.46,2026-01-11T20:00,3115.1,6,-0.43,Signal flip
LONG,2026-01-11T21:00,3121.11,2026-01-11T22:00,3109.61,1,-0.47,Signal flip
LONG,2026-01-11T23:00,3123.45,2026-01-12T08:00,3115.47,9,-0.36,Signal flip
LONG,2026-01-12T15:00,3130.17,2026-01-12T17:00,3104.88,2,-0.91,Signal flip
LONG,2026-01-12T19:00,3121.83,2026-01-12T20:00,3102.57,1,-0.72,Signal flip
LONG,2026-01-13T04:00,3122.57,2026-01-19T00:00,3212.13,140,2.77,Signal flip
LONG,2026-01-27T16:00,2990.81,2026-01-27T17:00,2930.3,1,-2.12,Signal flip
LONG,2026-01-27T20:00,3020.77,2026-01-29T01:00,2992.71,29,-1.03,Signal flip
LONG,2026-02-14T08:00,2082.35,2026-02-15T01:00,2064.19,17,-0.97,Signal flip
LONG,2026-02-15T04:00,2076.31,2026-02-15T10:00,2061.57,6,-0.81,Signal flip
LONG,2026-02-21T18:00,1991.97,2026-02-21T19:00,1988.35,1,-0.28,Signal flip
LONG,2026-02-25T12:00,1953.43,2026-02-27T11:00,1962.08,47,0.34,Signal flip
LONG,2026-02-28T20:00,1965.96,2026-03-01T17:00,1961.17,21,-0.34,Signal flip
LONG,2026-03-01T18:00,1975.82,2026-03-01T19:00,1953.9,1,-1.21,Signal flip
LONG,2026-03-02T00:00,1960.86,2026-03-02T02:00,1955.63,2,-0.37,Signal flip
LONG,2026-03-02T03:00,1972.3,2026-03-02T06:00,1943.31,3,-1.57,Signal flip
LONG,2026-03-02T14:00,1979.75,2026-03-03T08:00,1953.1,18,-1.45,Signal flip
LONG,2026-03-03T15:00,1969.22,2026-03-03T21:00,1968.46,6,-0.14,Signal flip
LONG,2026-03-03T22:00,1983.31,2026-03-04T03:00,1960.9,5,-1.23,Signal flip
LONG,2026-03-04T05:00,1971.14,2026-03-06T13:00,2019.88,56,2.37,Signal flip
LONG,2026-03-09T05:00,2010.6,2026-03-09T06:00,1985.0,1,-1.37,Signal flip
LONG,2026-03-09T08:00,1996.81,2026-03-09T10:00,1995.41,2,-0.17,Signal flip
LONG,2026-03-09T12:00,2002.19,2026-03-09T23:00,1992.98,11,-0.56,Signal flip
LONG,2026-03-10T00:00,2015.37,2026-03-19T07:00,2166.68,223,7.41,Signal flip
LONG,2026-03-19T09:00,2189.42,2026-03-19T10:00,2172.76,1,-0.86,Signal flip
LONG,2026-03-23T12:00,2144.27,2026-03-23T15:00,2128.45,3,-0.84,Signal flip
LONG,2026-03-23T17:00,2152.71,2026-03-24T01:00,2137.56,8,-0.8,Signal flip
LONG,2026-03-24T03:00,2141.59,2026-03-24T04:00,2136.33,1,-0.35,Signal flip
LONG,2026-03-24T06:00,2145.3,2026-03-24T13:00,2138.38,7,-0.42,Signal flip
LONG,2026-03-24T20:00,2148.48,2026-03-26T05:00,2119.55,33,-1.45,Signal flip
LONG,2026-03-30T11:00,2071.28,2026-03-30T13:00,2060.92,2,-0.6,Signal flip
LONG,2026-03-30T14:00,2071.64,2026-03-30T17:00,2041.8,3,-1.54,Signal flip
LONG,2026-03-31T01:00,2073.0,2026-03-31T04:00,2060.87,3,-0.69,Signal flip
LONG,2026-03-31T05:00,2064.31,2026-03-31T06:00,2062.33,1,-0.2,Signal flip
LONG,2026-03-31T13:00,2075.37,2026-03-31T14:00,2045.94,1,-1.52,Signal flip
LONG,2026-03-31T16:00,2091.7,2026-04-02T02:00,2073.89,34,-0.95,Signal flip
LONG,2026-04-04T21:00,2068.83,2026-04-04T23:00,2065.52,2,-0.26,Signal flip
LONG,2026-04-05T20:00,2068.91,2026-04-05T21:00,2060.01,1,-0.53,Signal flip
LONG,2026-04-05T22:00,2085.79,2026-04-07T13:00,2074.97,39,-0.62,Signal flip
LONG,2026-04-07T16:00,2083.76,2026-04-19T09:00,2310.24,281,10.77,Signal flip
LONG,2026-04-19T10:00,2318.01,2026-04-19T16:00,2311.68,6,-0.37,Signal flip
LONG,2026-04-20T12:00,2318.88,2026-04-20T14:00,2290.9,2,-1.31,Signal flip
LONG,2026-04-20T15:00,2313.91,2026-04-20T16:00,2300.07,1,-0.7,Signal flip
LONG,2026-04-20T17:00,2317.06,2026-04-21T02:00,2308.34,9,-0.48,Signal flip
LONG,2026-04-21T03:00,2311.62,2026-04-21T12:00,2308.54,9,-0.23,Signal flip
LONG,2026-04-21T13:00,2312.77,2026-04-21T14:00,2299.35,1,-0.68,Signal flip
LONG,2026-04-21T18:00,2312.72,2026-04-21T19:00,2298.41,1,-0.72,Signal flip
LONG,2026-04-21T20:00,2314.56,2026-04-23T09:00,2316.25,37,-0.03,Signal flip
LONG,2026-04-23T14:00,2334.24,2026-04-23T16:00,2326.38,2,-0.44,Signal flip
LONG,2026-04-23T22:00,2331.97,2026-04-24T02:00,2319.91,4,-0.62,Signal flip
LONG,2026-04-24T11:00,2328.1,2026-04-24T12:00,2325.25,1,-0.22,Signal flip
LONG,2026-04-26T05:00,2327.84,2026-04-27T05:00,2323.18,24,-0.3,Signal flip
LONG,2026-04-29T04:00,2327.32,2026-04-29T12:00,2316.13,8,-0.58,Signal flip
LONG,2026-05-01T12:00,2301.36,2026-05-01T20:00,2285.19,8,-0.8,Signal flip
LONG,2026-05-02T01:00,2298.63,2026-05-07T00:00,2329.65,119,1.25,Signal flip
LONG,2026-05-07T06:00,2337.13,2026-05-07T08:00,2333.73,2,-0.25,Signal flip
LONG,2026-05-09T17:00,2329.45,2026-05-10T11:00,2322.58,18,-0.39,Signal flip
LONG,2026-05-10T12:00,2324.12,2026-05-11T13:00,2322.32,25,-0.18,Signal flip
LONG,2026-05-11T15:00,2333.48,2026-05-12T01:00,2311.41,10,-1.05,Signal flip
LONG,2026-05-13T09:00,2321.19,2026-05-13T10:00,2308.46,1,-0.65,Signal flip
LONG,2026-05-14T16:00,2316.36,2026-05-14T19:00,2298.34,3,-0.88,Signal flip
LONG,2026-05-23T20:00,2146.3,2026-05-23T21:00,2116.84,1,-1.47,Signal flip
LONG,2026-05-25T16:00,2136.4,2026-05-25T17:00,2128.55,1,-0.47,Signal flip
LONG,2026-05-26T10:00,2127.56,2026-05-26T11:00,2121.01,1,-0.41,Signal flip
LONG,2026-06-14T21:00,1718.67,2026-06-18T04:00,1730.64,79,0.6,Signal flip
LONG,2026-06-18T06:00,1735.56,2026-06-18T15:00,1682.23,9,-3.17,Signal flip
LONG,2026-06-20T05:00,1726.1,2026-06-20T08:00,1722.83,3,-0.29,Signal flip
LONG,2026-06-20T09:00,1728.47,2026-06-20T13:00,1717.56,4,-0.73,Signal flip
LONG,2026-06-20T14:00,1733.48,2026-06-21T11:00,1725.36,21,-0.57,Signal flip
LONG,2026-06-21T14:00,1728.44,2026-06-21T20:00,1721.3,6,-0.51,Signal flip
LONG,2026-06-22T00:00,1726.95,2026-06-22T22:00,1724.15,22,-0.26,Signal flip
LONG,2026-06-23T00:00,1731.27,2026-06-23T04:00,1719.07,4,-0.8,Signal flip
LONG,2026-06-29T17:00,1628.03,2026-06-29T20:00,1617.66,3,-0.74,Signal flip
LONG,2026-06-29T21:00,1619.99,2026-06-29T22:00,1612.9,1,-0.54,Signal flip
LONG,2026-07-01T15:00,1620.09,2026-07-02T00:00,1603.42,9,-1.13,Signal flip
LONG,2026-07-02T01:00,1620.48,2026-07-08T15:00,1722.96,158,6.22,Signal flip
LONG,2026-07-08T16:00,1736.38,2026-07-09T02:00,1727.3,10,-0.62,Signal flip
LONG,2026-07-09T03:00,1730.7,2026-07-13T17:00,1753.62,110,1.22,Signal flip
LONG,2026-07-13T19:00,1774.92,2026-07-13T20:00,1767.33,1,-0.53,Signal flip
LONG,2026-07-13T23:00,1776.72,2026-07-17T05:00,1823.94,78,2.56,Signal flip
