trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,5M_EMA_SAR_50_200,LONG,2026-01-01T16:40,2985.67,2026-01-03T08:10,3089.35,474,39.5,10000.0,347.27,3.47,10347.27,Signal Flip
2,5M_EMA_SAR_50_200,SHORT,2026-01-03T08:10,3089.35,2026-01-03T14:40,3112.88,78,6.5,10347.27,-78.78,-0.76,10268.49,Signal Flip
3,5M_EMA_SAR_50_200,LONG,2026-01-03T14:40,3112.88,2026-01-04T18:30,3128.5,334,27.83,10268.49,51.56,0.5,10320.04,Signal Flip
4,5M_EMA_SAR_50_200,SHORT,2026-01-04T18:30,3128.5,2026-01-04T21:10,3146.07,32,2.67,10320.04,-57.95,-0.56,10262.09,Signal Flip
5,5M_EMA_SAR_50_200,LONG,2026-01-04T21:10,3146.07,2026-01-06T19:40,3223.44,558,46.5,10262.09,252.36,2.46,10514.45,Signal Flip
6,5M_EMA_SAR_50_200,SHORT,2026-01-06T19:40,3223.44,2026-01-06T20:40,3249.48,12,1.0,10514.45,-84.96,-0.81,10429.49,Signal Flip
7,5M_EMA_SAR_50_200,LONG,2026-01-06T20:40,3249.48,2026-01-07T09:15,3233.13,151,12.58,10429.49,-52.48,-0.5,10377.01,Signal Flip
8,5M_EMA_SAR_50_200,SHORT,2026-01-07T09:15,3233.13,2026-01-09T06:35,3124.65,544,45.33,10377.01,348.18,3.36,10725.19,Signal Flip
9,5M_EMA_SAR_50_200,LONG,2026-01-09T06:35,3124.65,2026-01-09T08:10,3106.23,19,1.58,10725.19,-63.24,-0.59,10661.94,Signal Flip
10,5M_EMA_SAR_50_200,SHORT,2026-01-09T08:10,3106.23,2026-01-09T16:45,3128.11,103,8.58,10661.94,-75.13,-0.7,10586.82,Signal Flip
11,5M_EMA_SAR_50_200,LONG,2026-01-09T16:45,3128.11,2026-01-09T19:00,3093.41,27,2.25,10586.82,-117.44,-1.11,10469.38,Signal Flip
12,5M_EMA_SAR_50_200,SHORT,2026-01-09T19:00,3093.41,2026-01-10T10:15,3098.87,183,15.25,10469.38,-18.47,-0.18,10450.91,Signal Flip
13,5M_EMA_SAR_50_200,LONG,2026-01-10T10:15,3098.87,2026-01-10T20:00,3090.58,117,9.75,10450.91,-27.94,-0.27,10422.97,Signal Flip
14,5M_EMA_SAR_50_200,SHORT,2026-01-10T20:00,3090.58,2026-01-11T02:50,3096.39,82,6.83,10422.97,-19.57,-0.19,10403.4,Signal Flip
15,5M_EMA_SAR_50_200,LONG,2026-01-11T02:50,3096.39,2026-01-12T10:10,3114.26,376,31.33,10403.4,60.06,0.58,10463.45,Signal Flip
16,5M_EMA_SAR_50_200,SHORT,2026-01-12T10:10,3114.26,2026-01-13T05:05,3127.83,227,18.92,10463.45,-45.6,-0.44,10417.86,Signal Flip
17,5M_EMA_SAR_50_200,LONG,2026-01-13T05:05,3127.83,2026-01-15T02:40,3313.53,547,45.58,10417.86,618.51,5.94,11036.36,Signal Flip
18,5M_EMA_SAR_50_200,SHORT,2026-01-15T02:40,3313.53,2026-01-15T09:40,3362.35,84,7.0,11036.36,-162.6,-1.47,10873.77,Signal Flip
19,5M_EMA_SAR_50_200,LONG,2026-01-15T09:40,3362.35,2026-01-15T16:40,3319.38,84,7.0,10873.77,-138.97,-1.28,10734.8,Signal Flip
20,5M_EMA_SAR_50_200,SHORT,2026-01-15T16:40,3319.38,2026-01-17T08:55,3297.67,483,40.25,10734.8,70.21,0.65,10805.01,Signal Flip
21,5M_EMA_SAR_50_200,LONG,2026-01-17T08:55,3297.67,2026-01-18T01:45,3298.52,202,16.83,10805.01,2.79,0.03,10807.81,Signal Flip
22,5M_EMA_SAR_50_200,SHORT,2026-01-18T01:45,3298.52,2026-01-18T04:00,3317.81,27,2.25,10807.81,-63.2,-0.58,10744.61,Signal Flip
23,5M_EMA_SAR_50_200,LONG,2026-01-18T04:00,3317.81,2026-01-19T00:05,3257.36,241,20.08,10744.61,-195.76,-1.82,10548.85,Signal Flip
24,5M_EMA_SAR_50_200,SHORT,2026-01-19T00:05,3257.36,2026-01-21T20:25,3016.17,820,68.33,10548.85,781.1,7.4,11329.95,Signal Flip
25,5M_EMA_SAR_50_200,LONG,2026-01-21T20:25,3016.17,2026-01-22T11:45,2981.62,184,15.33,11329.95,-129.78,-1.15,11200.17,Signal Flip
26,5M_EMA_SAR_50_200,SHORT,2026-01-22T11:45,2981.62,2026-01-23T04:45,2980.26,204,17.0,11200.17,5.11,0.05,11205.27,Signal Flip
27,5M_EMA_SAR_50_200,LONG,2026-01-23T04:45,2980.26,2026-01-23T06:55,2941.7,26,2.17,11205.27,-144.98,-1.29,11060.29,Signal Flip
28,5M_EMA_SAR_50_200,SHORT,2026-01-23T06:55,2941.7,2026-01-23T17:20,2978.75,125,10.42,11060.29,-139.3,-1.26,10920.99,Signal Flip
