trade_id,strategy,timeframe,fast_ema,slow_ema,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-01-03T02:00,3132.38,2026-01-09T20:00,3079.06,162,162.0,10000.0,-170.21,-1.7,9829.79,Signal Direction Flip
2,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-01-09T20:00,3079.06,2026-01-12T07:00,3156.38,59,59.0,9829.79,-246.83,-2.51,9582.96,Signal Direction Flip
3,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-01-12T07:00,3156.38,2026-01-12T15:00,3103.82,8,8.0,9582.96,-159.58,-1.67,9423.38,Signal Direction Flip
4,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-01-12T15:00,3103.82,2026-01-12T16:00,3131.74,1,1.0,9423.38,-84.76,-0.9,9338.62,Signal Direction Flip
5,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-01-12T16:00,3131.74,2026-01-12T19:00,3106.73,3,3.0,9338.62,-74.58,-0.8,9264.05,Signal Direction Flip
6,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-01-12T19:00,3106.73,2026-01-13T11:00,3136.3,16,16.0,9264.05,-88.18,-0.95,9175.87,Signal Direction Flip
7,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-01-13T11:00,3136.3,2026-01-20T02:00,3191.68,159,159.0,9175.87,162.04,1.77,9337.91,Signal Direction Flip
8,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-01-20T02:00,3191.68,2026-02-26T00:00,2058.51,886,886.0,9337.91,3315.33,35.5,12653.24,Signal Direction Flip
9,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-02-26T00:00,2058.51,2026-02-28T07:00,1841.54,55,55.0,12653.24,-1333.67,-10.54,11319.57,Signal Direction Flip
10,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-02-28T07:00,1841.54,2026-03-01T10:00,1981.68,27,27.0,11319.57,-861.42,-7.61,10458.14,Signal Direction Flip
11,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-03-01T10:00,1981.68,2026-03-02T08:00,1940.68,22,22.0,10458.14,-216.38,-2.07,10241.76,Signal Direction Flip
12,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-03-02T08:00,1940.68,2026-03-02T16:00,2048.35,8,8.0,10241.76,-568.24,-5.55,9673.52,Signal Direction Flip
13,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-03-02T16:00,2048.35,2026-03-07T17:00,1976.27,121,121.0,9673.52,-340.41,-3.52,9333.11,Signal Direction Flip
14,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-03-07T17:00,1976.27,2026-03-10T07:00,2044.79,62,62.0,9333.11,-323.59,-3.47,9009.51,Signal Direction Flip
15,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-03-10T07:00,2044.79,2026-03-20T17:00,2136.25,250,250.0,9009.51,402.98,4.47,9412.49,Signal Direction Flip
16,EMA_SAR_50_200_1h,1h,20,200,SHORT,2026-03-20T17:00,2136.25,2026-03-25T09:00,2177.73,112,112.0,9412.49,-182.75,-1.94,9229.74,Signal Direction Flip
17,EMA_SAR_50_200_1h,1h,20,200,LONG,2026-03-25T09:00,2177.73,2026-03-26T12:00,2067.42,27,27.0,9229.74,-467.53,-5.07,8762.21,Signal Direction Flip
