trade_id,strategy,timeframe,fast_ema,slow_ema,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-01T04:10,2978.77,2026-01-07T11:55,3218.33,1821,151.75,10000.0,804.23,8.04,10804.23,Signal Direction Flip
2,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-07T11:55,3218.33,2026-01-11T05:55,3100.27,1080,90.0,10804.23,396.34,3.67,11200.57,Signal Direction Flip
3,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-11T05:55,3100.27,2026-01-12T15:00,3103.82,397,33.08,11200.57,12.82,0.11,11213.39,Signal Direction Flip
4,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-12T15:00,3103.82,2026-01-12T16:35,3133.96,19,1.58,11213.39,-108.88,-0.97,11104.5,Signal Direction Flip
5,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-12T16:35,3133.96,2026-01-12T17:40,3094.82,13,1.08,11104.5,-138.66,-1.25,10965.84,Signal Direction Flip
6,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-12T17:40,3094.82,2026-01-13T07:10,3132.93,162,13.5,10965.84,-135.01,-1.23,10830.83,Signal Direction Flip
7,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-13T07:10,3132.93,2026-01-15T19:30,3287.01,724,60.33,10830.83,532.67,4.92,11363.5,Signal Direction Flip
8,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-15T19:30,3287.01,2026-01-17T13:45,3305.07,507,42.25,11363.5,-62.46,-0.55,11301.04,Signal Direction Flip
9,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-17T13:45,3305.07,2026-01-19T00:50,3218.39,421,35.08,11301.04,-296.39,-2.62,11004.65,Signal Direction Flip
10,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-19T00:50,3218.39,2026-01-22T02:05,3029.75,879,73.25,11004.65,645.0,5.86,11649.65,Signal Direction Flip
11,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-22T02:05,3029.75,2026-01-22T14:30,2971.27,149,12.42,11649.65,-224.86,-1.93,11424.79,Signal Direction Flip
12,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-22T14:30,2971.27,2026-01-24T03:30,2971.76,444,37.0,11424.79,-1.85,-0.02,11422.94,Signal Direction Flip
13,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-24T03:30,2971.76,2026-01-25T00:20,2953.88,250,20.83,11422.94,-68.7,-0.6,11354.24,Signal Direction Flip
14,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-25T00:20,2953.88,2026-01-26T14:45,2919.41,461,38.42,11354.24,132.51,1.17,11486.75,Signal Direction Flip
15,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-01-26T14:45,2919.41,2026-01-29T03:50,2949.47,733,61.08,11486.75,118.3,1.03,11605.04,Signal Direction Flip
16,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-01-29T03:50,2949.47,2026-02-02T18:30,2337.81,1328,110.67,11605.04,2406.67,20.74,14011.71,Signal Direction Flip
17,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-02T18:30,2337.81,2026-02-03T09:35,2284.54,181,15.08,14011.71,-319.28,-2.28,13692.43,Signal Direction Flip
18,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-03T09:35,2284.54,2026-02-06T18:00,2068.04,965,80.42,13692.43,1297.56,9.48,14989.99,Signal Direction Flip
19,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-06T18:00,2068.04,2026-02-09T06:25,2073.05,725,60.42,14989.99,36.31,0.24,15026.3,Signal Direction Flip
20,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-09T06:25,2073.05,2026-02-09T19:40,2133.39,159,13.25,15026.3,-437.32,-2.91,14588.98,Signal Direction Flip
21,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-09T19:40,2133.39,2026-02-10T06:35,2040.7,131,10.92,14588.98,-633.83,-4.34,13955.15,Signal Direction Flip
22,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-10T06:35,2040.7,2026-02-12T11:00,1995.16,629,52.42,13955.15,311.44,2.23,14266.59,Signal Direction Flip
23,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-12T11:00,1995.16,2026-02-12T16:40,1917.56,68,5.67,14266.59,-554.86,-3.89,13711.73,Signal Direction Flip
24,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-12T16:40,1917.56,2026-02-13T12:45,1961.51,241,20.08,13711.73,-314.27,-2.29,13397.46,Signal Direction Flip
25,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-13T12:45,1961.51,2026-02-15T13:10,2022.14,581,48.42,13397.46,414.1,3.09,13811.56,Signal Direction Flip
26,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-15T13:10,2022.14,2026-02-17T01:05,1996.61,431,35.92,13811.56,174.38,1.26,13985.94,Signal Direction Flip
27,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-17T01:05,1996.61,2026-02-17T08:45,1977.37,92,7.67,13985.94,-134.75,-0.96,13851.19,Signal Direction Flip
28,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-17T08:45,1977.37,2026-02-17T20:05,1998.87,136,11.33,13851.19,-150.59,-1.09,13700.6,Signal Direction Flip
29,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-17T20:05,1998.87,2026-02-18T15:35,1982.78,234,19.5,13700.6,-110.29,-0.8,13590.31,Signal Direction Flip
30,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-18T15:35,1982.78,2026-02-18T15:40,2005.6,1,0.08,13590.31,-156.44,-1.15,13433.87,Signal Direction Flip
31,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-18T15:40,2005.6,2026-02-18T16:10,1966.63,6,0.5,13433.87,-261.07,-1.94,13172.8,Signal Direction Flip
32,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-18T16:10,1966.63,2026-02-20T09:05,1968.37,491,40.92,13172.8,-11.71,-0.09,13161.09,Signal Direction Flip
33,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-20T09:05,1968.37,2026-02-20T13:40,1925.13,55,4.58,13161.09,-289.16,-2.2,12871.93,Signal Direction Flip
34,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-20T13:40,1925.13,2026-02-20T17:00,1969.6,40,3.33,12871.93,-297.39,-2.31,12574.55,Signal Direction Flip
35,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-20T17:00,1969.6,2026-02-20T17:30,1943.42,6,0.5,12574.55,-167.18,-1.33,12407.36,Signal Direction Flip
36,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-20T17:30,1943.42,2026-02-20T17:50,1969.44,4,0.33,12407.36,-166.16,-1.34,12241.2,Signal Direction Flip
37,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-20T17:50,1969.44,2026-02-22T13:35,1960.67,525,43.75,12241.2,-54.54,-0.45,12186.66,Signal Direction Flip
38,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-22T13:35,1960.67,2026-02-25T01:25,1916.53,718,59.83,12186.66,274.36,2.25,12461.02,Signal Direction Flip
39,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-25T01:25,1916.53,2026-02-27T01:00,2013.78,571,47.58,12461.02,632.34,5.07,13093.36,Signal Direction Flip
40,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-27T01:00,2013.78,2026-02-27T04:45,2048.18,45,3.75,13093.36,-223.67,-1.71,12869.69,Signal Direction Flip
41,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-27T04:45,2048.18,2026-02-27T10:15,1985.59,66,5.5,12869.69,-393.33,-3.06,12476.37,Signal Direction Flip
42,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-02-27T10:15,1985.59,2026-02-28T22:25,1965.71,434,36.17,12476.37,124.88,1.0,12601.25,Signal Direction Flip
43,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-02-28T22:25,1965.71,2026-03-01T21:45,1924.52,280,23.33,12601.25,-264.08,-2.1,12337.16,Signal Direction Flip
44,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-01T21:45,1924.52,2026-03-02T16:00,2048.35,219,18.25,12337.16,-793.86,-6.43,11543.31,Signal Direction Flip
45,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-02T16:00,2048.35,2026-03-03T10:05,1951.57,217,18.08,11543.31,-545.39,-4.72,10997.91,Signal Direction Flip
46,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-03T10:05,1951.57,2026-03-04T08:55,2047.7,274,22.83,10997.91,-541.73,-4.93,10456.18,Signal Direction Flip
47,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-04T08:55,2047.7,2026-03-05T18:30,2065.64,403,33.58,10456.18,91.57,0.88,10547.76,Signal Direction Flip
48,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-05T18:30,2065.64,2026-03-09T04:40,1987.28,986,82.17,10547.76,400.1,3.79,10947.85,Signal Direction Flip
49,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-09T04:40,1987.28,2026-03-11T03:50,2019.44,566,47.17,10947.85,177.15,1.62,11125.0,Signal Direction Flip
50,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-11T03:50,2019.44,2026-03-11T15:05,2059.24,135,11.25,11125.0,-219.25,-1.97,10905.75,Signal Direction Flip
51,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-11T15:05,2059.24,2026-03-12T05:15,2022.04,170,14.17,10905.75,-197.01,-1.81,10708.73,Signal Direction Flip
52,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-12T05:15,2022.04,2026-03-12T10:55,2071.36,68,5.67,10708.73,-261.18,-2.44,10447.55,Signal Direction Flip
53,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-12T10:55,2071.36,2026-03-14T02:10,2093.52,471,39.25,10447.55,111.81,1.07,10559.36,Signal Direction Flip
54,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-14T02:10,2093.52,2026-03-15T03:35,2099.36,305,25.42,10559.36,-29.44,-0.28,10529.92,Signal Direction Flip
55,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-15T03:35,2099.36,2026-03-18T11:45,2275.46,962,80.17,10529.92,883.29,8.39,11413.22,Signal Direction Flip
56,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-18T11:45,2275.46,2026-03-21T03:30,2154.5,765,63.75,11413.22,606.73,5.32,12019.95,Signal Direction Flip
57,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-21T03:30,2154.5,2026-03-22T00:00,2083.82,246,20.5,12019.95,-394.32,-3.28,11625.63,Signal Direction Flip
58,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-22T00:00,2083.82,2026-03-23T13:00,2145.34,444,37.0,11625.63,-343.25,-2.95,11282.38,Signal Direction Flip
59,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-23T13:00,2145.34,2026-03-24T19:40,2117.87,368,30.67,11282.38,-144.47,-1.28,11137.91,Signal Direction Flip
60,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-24T19:40,2117.87,2026-03-24T21:30,2145.67,22,1.83,11137.91,-146.21,-1.31,10991.7,Signal Direction Flip
61,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-24T21:30,2145.67,2026-03-26T04:05,2150.21,367,30.58,10991.7,23.27,0.21,11014.97,Signal Direction Flip
62,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-26T04:05,2150.21,2026-03-28T16:25,2029.17,724,60.33,11014.97,620.06,5.63,11635.03,Signal Direction Flip
63,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-28T16:25,2029.17,2026-03-29T01:40,1998.45,111,9.25,11635.03,-176.17,-1.51,11458.86,Signal Direction Flip
64,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-03-29T01:40,1998.45,2026-03-30T03:15,2030.59,307,25.58,11458.86,-184.31,-1.61,11274.55,Signal Direction Flip
65,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-03-30T03:15,2030.59,2026-04-02T04:00,2055.3,873,72.75,11274.55,137.18,1.22,11411.73,Signal Direction Flip
66,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-04-02T04:00,2055.3,2026-04-04T18:20,2058.99,748,62.33,11411.73,-20.47,-0.18,11391.26,Signal Direction Flip
67,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-04-04T18:20,2058.99,2026-04-05T06:35,2037.54,147,12.25,11391.26,-118.66,-1.04,11272.59,Signal Direction Flip
68,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-04-05T06:35,2037.54,2026-04-05T19:55,2060.98,160,13.33,11272.59,-129.68,-1.15,11142.92,Signal Direction Flip
69,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-04-05T19:55,2060.98,2026-04-07T04:25,2105.74,390,32.5,11142.92,241.98,2.17,11384.9,Signal Direction Flip
70,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-04-07T04:25,2105.74,2026-04-07T22:40,2183.33,219,18.25,11384.9,-419.52,-3.68,10965.38,Signal Direction Flip
71,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-04-07T22:40,2183.33,2026-04-09T02:15,2173.88,331,27.58,10965.38,-47.45,-0.43,10917.92,Signal Direction Flip
72,EMA_SAR_209_223_5m,5m,20,200,SHORT,2026-04-09T02:15,2173.88,2026-04-09T18:35,2207.53,196,16.33,10917.92,-169.0,-1.55,10748.92,Signal Direction Flip
73,EMA_SAR_209_223_5m,5m,20,200,LONG,2026-04-09T18:35,2207.53,2026-04-10T04:10,2186.64,115,9.58,10748.92,-101.75,-0.95,10647.17,Signal Direction Flip
