Strategy,Timeframe,Fast_EMA,Slow_EMA,Method,Initial_Capital,Final_Equity,Net_PnL_USD,Total_Return_Pct,CAGR_Pct,Alpha_vs_ETH_Pct,Max_Drawdown_Pct,Max_Drawdown_USD,Avg_Drawdown_Pct,Peak_Equity_Time,MDD_Trough_Time,Max_DD_Duration_Hours,Recovery_Factor,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Composite_Score,Total_Trades,Win_Rate_Pct,Loss_Rate_Pct,Profit_Factor,Expectancy_Pct,Expectancy_USD,Avg_Win_Pct,Avg_Loss_Pct,Payoff_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Avg_Holding_Hours,Long_Trades_Count,Long_Win_Rate_Pct,Long_Net_PnL_USD,Short_Trades_Count,Short_Win_Rate_Pct,Short_Net_PnL_USD,Exposure_Pct,Total_Fees_USD,Fee_Drag_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun
EMA_SAR_160_180_30m,30m,160,180,Stop-and-Reverse (SAR),10000.0,7076.76,-2923.24,-29.23,-50.21,17.87,58.23,7936.07,34.16,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.37,-1.0,-1.3,-0.86,0.98,5.0,34,26.5,73.5,0.68,-0.73,-85.98,8.83,4.18,2.11,2,8,26.74,-11.58,127.0,17,29.4,-3721.19,17,23.5,797.97,99.4,340.0,3.4,3,3,Jan (+12.64%),Mar (-20.61%),12.64,-17.53,-20.61,-13.0,1.1,9.1
EMA_SAR_80_100_1h,1h,80,100,Stop-and-Reverse (SAR),10000.0,7075.95,-2924.05,-29.24,-50.23,17.86,56.36,7378.19,32.12,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.4,-1.03,-1.37,-0.89,0.97,3.3,34,26.5,73.5,0.67,-0.74,-86.0,8.4,4.04,2.08,2,8,26.41,-11.04,126.3,17,29.4,-3889.46,17,23.5,965.42,98.9,340.0,3.4,2,4,Jan (+9.46%),Feb (-17.32%),9.46,-17.32,-16.85,-13.12,-0.43,8.7
EMA_SAR_90_95_5m,5m,90,95,Stop-and-Reverse (SAR),10000.0,7072.0,-2928.0,-29.28,-50.27,17.82,46.66,6093.28,23.96,2026-02-07T04:20,2026-06-30T03:15,3451.6,-0.48,-0.85,-1.12,-1.08,0.99,6.0,352,26.4,73.6,0.89,-0.07,-8.32,2.65,1.04,2.54,3,14,23.69,-5.08,12.3,176,24.4,-3515.14,176,28.4,587.13,99.9,3520.0,35.2,3,3,Feb (+14.21%),May (-23.25%),3.82,14.21,-22.81,4.56,-23.25,-3.71
EMA_SAR_40_80_1h,1h,40,80,Stop-and-Reverse (SAR),10000.0,7071.41,-2928.59,-29.29,-50.29,17.81,50.52,6588.29,32.7,2026-02-05T23:00,2026-04-29T09:00,3480.0,-0.44,-0.99,-1.33,-1.0,0.97,5.0,56,23.2,76.8,0.69,-0.49,-52.3,6.2,2.51,2.47,2,16,25.27,-6.44,76.7,28,21.4,-4120.06,28,25.0,1191.41,98.9,560.0,5.6,3,3,Jan (+9.04%),Feb (-22.12%),9.04,-22.12,-10.61,-11.85,4.14,1.47
EMA_SAR_145_195_30m,30m,145,195,Stop-and-Reverse (SAR),10000.0,7065.34,-2934.66,-29.35,-50.37,17.75,58.5,8040.88,34.39,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.36,-1.01,-1.31,-0.86,0.98,5.0,34,26.5,73.5,0.69,-0.74,-86.31,8.84,4.19,2.11,2,8,26.77,-11.58,127.0,17,29.4,-3740.39,17,23.5,805.73,99.4,340.0,3.4,3,3,Jan (+13.61%),Mar (-21.26%),13.61,-17.53,-21.26,-12.81,1.06,8.7
EMA_SAR_50_155_1h,1h,50,155,Stop-and-Reverse (SAR),10000.0,7065.26,-2934.74,-29.35,-50.38,17.75,57.18,8178.19,33.51,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.36,-1.05,-1.39,-0.88,0.97,5.0,36,19.4,80.6,0.69,-0.7,-81.52,11.12,3.56,3.13,2,8,29.09,-11.21,119.2,18,16.7,-4014.43,18,22.2,1079.69,98.9,360.0,3.6,3,3,Jan (+20.98%),Mar (-19.50%),20.98,-19.1,-19.5,-11.43,0.02,1.24
EMA_SAR_70_120_1h,1h,70,120,Stop-and-Reverse (SAR),10000.0,7063.84,-2936.16,-29.36,-50.4,17.74,57.66,7736.74,33.22,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.38,-1.04,-1.39,-0.87,0.97,5.0,34,26.5,73.5,0.67,-0.74,-86.36,8.47,4.06,2.09,2,8,27.32,-11.04,126.3,17,29.4,-3880.12,17,23.5,943.97,98.9,340.0,3.4,3,3,Jan (+12.79%),Feb (-18.65%),12.79,-18.65,-17.77,-14.55,0.45,9.09
EMA_SAR_90_110_30m,30m,90,110,Stop-and-Reverse (SAR),10000.0,7057.63,-2942.37,-29.42,-50.48,17.68,55.77,8008.24,35.42,2026-02-06T00:00,2026-04-29T10:00,3479.5,-0.37,-0.97,-1.28,-0.91,0.98,5.0,52,26.9,73.1,0.72,-0.52,-56.58,6.28,3.02,2.08,2,14,25.55,-6.93,83.0,26,23.1,-4031.35,26,30.8,1089.0,99.4,520.0,5.2,3,3,Jan (+18.85%),Feb (-20.84%),18.85,-20.84,-12.84,-19.45,5.59,1.21
EMA_SAR_150_180_30m,30m,150,180,Stop-and-Reverse (SAR),10000.0,7055.84,-2944.16,-29.44,-50.51,17.66,58.68,8121.93,34.54,2026-02-06T00:00,2026-05-13T09:30,3479.5,-0.36,-1.01,-1.32,-0.86,0.98,5.0,34,26.5,73.5,0.69,-0.75,-86.59,8.83,4.19,2.11,2,8,27.02,-10.5,127.0,17,29.4,-3789.32,17,23.5,845.15,99.4,340.0,3.4,3,3,Jan (+14.41%),Mar (-21.55%),14.41,-17.07,-21.55,-13.82,1.61,8.25
EMA_SAR_75_95_1h,1h,75,95,Stop-and-Reverse (SAR),10000.0,7054.99,-2945.01,-29.45,-50.52,17.65,58.39,7641.08,33.94,2026-02-05T23:00,2026-05-13T09:00,3480.0,-0.39,-1.04,-1.38,-0.87,0.97,5.0,34,23.5,76.5,0.67,-0.74,-86.62,9.83,3.99,2.46,2,8,26.78,-11.89,126.3,17,23.5,-3844.15,17,23.5,899.13,98.9,340.0,3.4,3,3,Jun (+13.70%),Mar (-21.32%),9.42,-18.07,-21.32,-13.0,1.11,13.7
