Strategy,Timeframe,Fast_EMA,Slow_EMA,Method,Initial_Capital,Final_Equity,Net_PnL_USD,Total_Return_Pct,CAGR_Pct,Alpha_vs_ETH_Pct,Max_Drawdown_Pct,Max_Drawdown_USD,Avg_Drawdown_Pct,Peak_Equity_Time,MDD_Trough_Time,Max_DD_Duration_Hours,Recovery_Factor,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Composite_Score,Total_Trades,Win_Rate_Pct,Loss_Rate_Pct,Profit_Factor,Expectancy_Pct,Expectancy_USD,Avg_Win_Pct,Avg_Loss_Pct,Payoff_Ratio,Max_Cons_Wins,Max_Cons_Losses,Best_Trade_Pct,Worst_Trade_Pct,Avg_Holding_Hours,Long_Trades_Count,Long_Win_Rate_Pct,Long_Net_PnL_USD,Short_Trades_Count,Short_Win_Rate_Pct,Short_Net_PnL_USD,Exposure_Pct,Total_Fees_USD,Fee_Drag_Pct,Pos_Months,Neg_Months,Best_Month,Worst_Month,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun
EMA_SAR_70_190_5m,5m,70,190,Stop-and-Reverse (SAR),10000.0,15675.41,5675.41,56.75,147.56,103.85,20.99,4106.48,7.03,2026-06-08T21:40,2026-06-30T06:25,1862.1,1.38,1.82,2.42,7.03,1.02,72.5,260,30.8,69.2,1.22,0.21,21.83,2.86,0.95,3.02,3,10,22.55,-4.53,16.7,130,31.5,-614.66,130,30.0,6290.12,99.9,2600.0,26.0,5,1,Jan (+25.96%),May (-5.85%),25.96,20.59,2.22,4.73,-5.85,2.39
EMA_SAR_65_195_5m,5m,65,195,Stop-and-Reverse (SAR),10000.0,15573.6,5573.6,55.74,144.33,102.84,22.37,4424.58,6.93,2026-06-08T21:40,2026-06-30T06:25,1616.3,1.26,1.79,2.39,6.45,1.02,69.9,266,30.5,69.5,1.2,0.2,20.95,2.86,0.94,3.04,4,12,22.95,-4.72,16.3,133,31.6,-731.7,133,29.3,6305.26,99.9,2660.0,26.6,4,2,Jan (+30.43%),May (-7.38%),30.43,21.13,3.9,3.05,-7.38,-0.6
EMA_SAR_20_30_30m,30m,20,30,Stop-and-Reverse (SAR),10000.0,15559.41,5559.41,55.59,143.9,102.69,19.83,3498.21,8.71,2026-06-24T17:30,2026-06-02T08:00,1735.5,1.59,1.81,2.5,7.26,1.04,71.6,186,33.9,66.1,1.25,0.29,29.89,3.24,1.23,2.65,3,10,22.1,-7.09,23.2,93,34.4,-636.02,93,33.3,6195.41,99.4,1860.0,18.6,4,2,Jan (+27.55%),May (-4.62%),27.55,13.44,8.96,-4.56,-4.62,8.4
EMA_SAR_60_190_5m,5m,60,190,Stop-and-Reverse (SAR),10000.0,15238.48,5238.48,52.38,133.84,99.48,21.15,4030.54,7.72,2026-06-08T21:40,2026-06-30T06:25,1872.3,1.3,1.72,2.3,6.33,1.02,70.6,288,29.5,70.5,1.19,0.18,18.19,2.75,0.89,3.07,3,13,22.92,-4.49,15.1,144,29.2,-732.26,144,29.9,5970.72,99.9,2880.0,28.8,5,1,Jan (+28.11%),May (-8.88%),28.11,23.54,0.72,3.97,-8.88,0.91
EMA_SAR_55_200_5m,5m,55,200,Stop-and-Reverse (SAR),10000.0,15136.01,5136.01,51.36,130.68,98.46,20.52,3842.57,8.1,2026-06-08T21:40,2026-06-29T16:50,1885.2,1.34,1.7,2.27,6.37,1.02,70.3,280,30.0,70.0,1.18,0.18,18.34,2.81,0.94,2.98,3,11,22.92,-4.33,15.5,140,30.0,-828.35,140,30.0,5964.43,99.9,2800.0,28.0,5,1,Jan (+31.74%),May (-10.99%),31.74,16.83,4.28,4.96,-10.99,0.94
EMA_SAR_65_190_5m,5m,65,190,Stop-and-Reverse (SAR),10000.0,15076.05,5076.05,50.76,128.84,97.86,21.81,4145.77,7.6,2026-06-08T21:40,2026-06-30T06:25,1884.8,1.22,1.68,2.25,5.91,1.02,69.8,270,31.1,68.9,1.18,0.19,18.8,2.75,0.95,2.9,4,12,22.85,-4.72,16.1,135,31.1,-856.18,135,31.1,5932.16,99.9,2700.0,27.0,5,1,Jan (+27.82%),May (-9.62%),27.82,22.73,3.52,2.69,-9.62,0.03
EMA_SAR_10_55_30m,30m,10,55,Stop-and-Reverse (SAR),10000.0,15012.18,5012.18,50.12,126.91,97.22,21.21,3325.96,10.04,2026-06-24T17:30,2026-03-04T08:00,2925.5,1.51,1.69,2.43,5.98,1.04,69.6,200,30.5,69.5,1.26,0.24,25.06,3.11,1.01,3.07,3,11,19.91,-4.26,21.6,100,29.0,-898.8,100,32.0,5911.0,99.4,2000.0,20.0,4,2,Jan (+26.91%),Apr (-4.62%),26.91,8.77,0.83,-4.62,-1.77,15.12
EMA_SAR_110_200_5m,5m,110,200,Stop-and-Reverse (SAR),10000.0,14997.16,4997.16,49.97,126.43,97.07,21.63,3764.58,9.57,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.33,1.67,2.2,5.85,1.02,68.5,178,33.7,66.3,1.22,0.28,28.07,3.39,1.3,2.61,3,8,21.98,-7.04,24.4,89,31.5,-883.25,89,36.0,5880.33,99.9,1780.0,17.8,4,2,Jan (+30.18%),May (-5.96%),30.18,17.04,0.19,-3.54,-5.96,8.31
EMA_SAR_70_185_5m,5m,70,185,Stop-and-Reverse (SAR),10000.0,14950.46,4950.46,49.5,125.01,96.6,21.66,4075.32,7.91,2026-06-08T21:40,2026-06-30T06:25,1871.0,1.21,1.65,2.21,5.77,1.02,69.5,258,31.0,69.0,1.19,0.19,19.19,2.85,0.98,2.91,4,10,22.95,-4.53,16.8,129,32.6,-896.77,129,29.5,5847.2,99.9,2580.0,25.8,5,1,Jan (+25.85%),May (-8.00%),25.85,19.72,2.61,3.62,-8.0,1.44
EMA_SAR_55_195_5m,5m,55,195,Stop-and-Reverse (SAR),10000.0,14848.42,4848.42,48.48,121.93,95.58,20.64,3645.74,8.08,2026-06-08T21:40,2026-06-02T06:30,1926.4,1.33,1.63,2.18,5.91,1.02,67.4,294,28.6,71.4,1.17,0.17,16.49,2.88,0.92,3.15,3,14,22.99,-4.33,14.8,147,27.9,-873.02,147,29.3,5721.49,99.9,2940.0,29.4,4,2,Jan (+32.46%),May (-11.92%),32.46,21.59,-2.24,4.62,-11.92,2.34
EMA_SAR_10_45_30m,30m,10,45,Stop-and-Reverse (SAR),10000.0,14799.01,4799.01,47.99,120.46,95.09,22.24,3894.57,8.62,2026-06-24T17:30,2026-06-02T08:00,1861.5,1.23,1.64,2.27,5.42,1.04,67.7,216,31.9,68.1,1.21,0.22,22.22,2.99,1.07,2.78,3,11,22.1,-6.79,20.0,108,32.4,-888.22,108,31.5,5687.25,99.4,2160.0,21.6,4,2,Jan (+22.73%),May (-7.06%),22.73,22.37,3.18,-3.35,-7.06,6.31
EMA_SAR_65_180_5m,5m,65,180,Stop-and-Reverse (SAR),10000.0,14793.14,4793.14,47.93,120.27,95.03,21.63,4021.06,8.54,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.19,1.62,2.16,5.56,1.02,68.6,288,28.1,71.9,1.17,0.17,16.64,2.91,0.9,3.23,3,12,23.05,-4.68,15.1,144,27.1,-863.89,144,29.2,5657.01,99.9,2880.0,28.8,5,1,Jan (+28.18%),May (-10.06%),28.18,24.6,0.15,1.45,-10.06,1.38
EMA_SAR_75_175_5m,5m,75,175,Stop-and-Reverse (SAR),10000.0,14752.19,4752.19,47.52,119.04,94.62,23.43,4450.96,7.33,2026-06-08T21:40,2026-06-30T06:25,1870.7,1.07,1.61,2.14,5.08,1.02,66.4,260,30.4,69.6,1.17,0.19,18.28,2.9,0.98,2.97,4,12,22.93,-5.47,16.7,130,31.5,-1011.92,130,29.2,5764.1,99.9,2600.0,26.0,4,2,Jan (+27.40%),May (-9.03%),27.4,22.71,0.21,4.4,-9.03,-0.85
EMA_SAR_60_195_5m,5m,60,195,Stop-and-Reverse (SAR),10000.0,14743.38,4743.38,47.43,118.77,94.53,21.81,4048.82,8.41,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.17,1.61,2.15,5.45,1.02,66.8,276,28.6,71.4,1.17,0.18,17.19,2.9,0.92,3.16,4,13,23.1,-4.68,15.7,138,28.3,-1019.5,138,29.0,5762.89,99.9,2760.0,27.6,4,2,Jan (+31.88%),May (-9.83%),31.88,19.8,2.9,0.65,-9.83,-0.07
EMA_SAR_70_175_5m,5m,70,175,Stop-and-Reverse (SAR),10000.0,14726.7,4726.7,47.27,118.27,94.37,22.91,4310.11,8.51,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.1,1.6,2.14,5.16,1.02,66.3,274,28.8,71.2,1.17,0.18,17.25,2.97,0.93,3.18,4,12,23.23,-4.72,15.8,137,29.2,-919.32,137,28.5,5646.07,99.9,2740.0,27.4,4,2,Jan (+27.44%),May (-11.54%),27.44,27.0,0.08,2.88,-11.54,-0.11
EMA_SAR_10_35_30m,30m,10,35,Stop-and-Reverse (SAR),10000.0,14687.18,4687.18,46.87,117.11,93.97,23.38,4418.66,8.14,2026-06-08T21:00,2026-06-30T06:00,1927.5,1.06,1.61,2.27,5.01,1.04,64.7,278,28.8,71.2,1.17,0.17,16.86,2.88,0.9,3.2,4,12,22.72,-6.75,15.5,139,30.2,-1178.96,139,27.3,5866.12,99.4,2780.0,27.8,3,3,Jan (+31.06%),May (-7.78%),31.06,19.63,3.78,-0.54,-7.78,-1.59
EMA_SAR_75_170_5m,5m,75,170,Stop-and-Reverse (SAR),10000.0,14661.83,4661.83,46.62,116.34,93.72,24.28,4636.02,7.08,2026-06-08T21:40,2026-06-30T06:25,1030.2,1.01,1.59,2.11,4.79,1.02,65.7,264,29.9,70.1,1.17,0.18,17.66,2.92,0.96,3.02,4,12,23.3,-5.75,16.4,132,30.3,-1025.42,132,29.5,5687.19,99.9,2640.0,26.4,4,2,Jan (+27.60%),May (-10.87%),27.6,22.2,3.5,4.21,-10.87,-2.18
EMA_SAR_15_35_30m,30m,15,35,Stop-and-Reverse (SAR),10000.0,14636.22,4636.22,46.36,115.59,93.46,24.87,4518.81,10.25,2026-03-23T07:00,2026-06-02T08:00,2392.5,1.03,1.6,2.22,4.65,1.04,66.2,198,32.8,67.2,1.2,0.24,23.42,3.14,1.18,2.66,3,8,22.51,-6.79,21.8,99,32.3,-957.42,99,33.3,5593.65,99.4,1980.0,19.8,4,2,Jan (+24.88%),May (-8.16%),24.88,20.75,4.73,-4.52,-8.16,5.69
EMA_SAR_65_175_5m,5m,65,175,Stop-and-Reverse (SAR),10000.0,14631.09,4631.09,46.31,115.43,93.41,21.55,3964.12,9.0,2026-06-08T21:40,2026-06-30T06:25,1926.4,1.17,1.58,2.1,5.36,1.02,66.3,290,29.7,70.3,1.16,0.17,15.97,2.81,0.95,2.96,3,14,23.07,-4.33,15.0,145,29.7,-916.84,145,29.7,5547.89,99.9,2900.0,29.0,4,2,Jan (+29.44%),May (-10.30%),29.44,23.69,-3.55,3.37,-10.3,2.17
EMA_SAR_115_195_5m,5m,115,195,Stop-and-Reverse (SAR),10000.0,14612.7,4612.7,46.13,114.88,93.23,21.23,3524.5,9.62,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.31,1.58,2.08,5.41,1.02,67.1,178,32.0,68.0,1.21,0.27,25.91,3.56,1.28,2.77,3,10,22.01,-7.04,24.4,89,30.3,-1017.69,89,33.7,5630.4,99.9,1780.0,17.8,4,2,Jan (+30.98%),May (-5.73%),30.98,11.36,0.28,-3.58,-5.73,9.91
EMA_SAR_70_170_5m,5m,70,170,Stop-and-Reverse (SAR),10000.0,14608.83,4608.83,46.09,114.77,93.19,22.36,4143.12,8.77,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.11,1.58,2.1,5.13,1.02,66.0,286,27.3,72.7,1.16,0.17,16.11,3.05,0.91,3.34,3,14,23.0,-4.68,15.2,143,27.3,-881.09,143,27.3,5489.91,99.9,2860.0,28.6,4,2,Jan (+27.54%),May (-12.32%),27.54,26.65,-1.92,3.86,-12.32,1.25
EMA_SAR_65_185_5m,5m,65,185,Stop-and-Reverse (SAR),10000.0,14591.74,4591.74,45.92,114.26,93.02,22.11,4078.69,7.98,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.13,1.57,2.1,5.17,1.02,64.4,282,28.0,72.0,1.16,0.17,16.28,2.93,0.91,3.23,4,12,23.11,-4.72,15.4,141,27.7,-1008.62,141,28.4,5600.41,99.9,2820.0,28.2,3,3,Jan (+28.19%),May (-10.21%),28.19,23.28,0.0,3.0,-10.21,-0.16
EMA_SAR_65_200_5m,5m,65,200,Stop-and-Reverse (SAR),10000.0,14552.44,4552.44,45.52,113.1,92.62,22.38,4136.29,8.09,2026-06-08T21:40,2026-06-30T06:25,1884.8,1.1,1.56,2.09,5.05,1.02,65.9,272,29.8,70.2,1.17,0.17,16.74,2.84,0.94,3.03,4,12,22.55,-4.72,16.0,136,30.9,-1033.11,136,28.7,5585.57,99.9,2720.0,27.2,4,2,Jan (+28.36%),May (-10.29%),28.36,19.83,3.55,2.71,-10.29,-0.83
EMA_SAR_5_55_30m,30m,5,55,Stop-and-Reverse (SAR),10000.0,14514.37,4514.37,45.14,111.99,92.24,22.46,3550.23,8.97,2026-02-06T00:00,2026-06-02T08:00,3479.5,1.27,1.58,2.29,4.99,1.04,66.5,274,26.3,73.7,1.19,0.17,16.48,2.99,0.84,3.57,3,18,22.1,-4.63,15.8,137,27.0,-1016.54,137,25.5,5530.95,99.4,2740.0,27.4,4,2,Jan (+30.81%),May (-9.79%),30.81,5.72,3.68,-1.94,-9.79,14.42
EMA_SAR_120_190_5m,5m,120,190,Stop-and-Reverse (SAR),10000.0,14424.24,4424.24,44.24,109.33,91.34,20.16,3342.42,9.36,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.32,1.53,2.02,5.42,1.02,66.6,180,31.7,68.3,1.2,0.26,24.58,3.56,1.28,2.79,3,10,21.69,-7.09,24.1,90,30.0,-1132.85,90,33.3,5557.15,99.9,1800.0,18.0,4,2,Jan (+30.99%),May (-5.59%),30.99,11.32,1.19,-3.35,-5.59,7.13
EMA_SAR_60_200_5m,5m,60,200,Stop-and-Reverse (SAR),10000.0,14423.32,4423.32,44.23,109.3,91.33,22.83,4202.02,8.08,2026-06-08T21:40,2026-06-29T16:50,1681.6,1.05,1.53,2.05,4.79,1.02,65.3,276,28.3,71.7,1.16,0.17,16.03,3.0,0.91,3.3,3,11,22.85,-4.72,15.7,138,28.3,-1152.19,138,28.3,5575.57,99.9,2760.0,27.6,4,2,Jan (+28.92%),May (-7.80%),28.92,18.52,1.4,2.27,-7.8,-1.28
EMA_SAR_70_180_5m,5m,70,180,Stop-and-Reverse (SAR),10000.0,14400.38,4400.38,44.0,108.63,91.1,22.72,4175.91,8.22,2026-06-08T21:40,2026-06-30T06:25,1926.4,1.05,1.53,2.04,4.78,1.02,65.2,270,29.6,70.4,1.16,0.17,16.3,2.88,0.95,3.03,4,12,22.93,-4.72,16.1,135,30.4,-1105.0,135,28.9,5505.44,99.9,2700.0,27.0,4,2,Jan (+28.13%),May (-10.31%),28.13,22.16,0.24,2.51,-10.31,-0.17
EMA_SAR_5_15_1h,1h,5,15,Stop-and-Reverse (SAR),10000.0,14373.88,4373.88,43.74,107.89,90.84,28.82,5727.81,7.75,2026-06-08T21:00,2026-06-29T15:00,1680.0,0.76,1.55,2.25,3.74,1.05,63.5,292,29.8,70.2,1.15,0.16,14.98,2.72,0.93,2.93,4,16,23.11,-6.02,14.7,146,30.8,-1324.07,146,28.8,5697.89,98.9,2920.0,29.2,4,2,Feb (+34.99%),May (-9.73%),21.69,34.99,0.09,5.43,-9.73,-8.13
EMA_SAR_60_185_5m,5m,60,185,Stop-and-Reverse (SAR),10000.0,14337.14,4337.14,43.37,106.79,90.47,22.83,3982.26,9.18,2026-06-08T21:40,2026-06-02T06:30,1928.8,1.09,1.51,2.02,4.68,1.01,64.7,304,27.6,72.4,1.15,0.15,14.27,2.89,0.89,3.24,3,14,23.11,-4.33,14.3,152,27.0,-1021.2,152,28.3,5358.22,99.9,3040.0,30.4,4,2,Jan (+30.28%),May (-11.20%),30.28,20.14,-2.77,2.35,-11.2,3.66
EMA_SAR_125_180_5m,5m,125,180,Stop-and-Reverse (SAR),10000.0,14299.24,4299.24,42.99,105.69,90.09,22.28,3801.59,9.64,2026-06-08T21:40,2026-05-30T04:30,1851.2,1.13,1.51,1.98,4.74,1.01,65.4,182,32.4,67.6,1.19,0.25,23.62,3.42,1.27,2.69,3,8,21.98,-7.04,23.8,91,30.8,-1166.04,91,34.1,5465.28,99.9,1820.0,18.2,4,2,Jan (+31.31%),May (-7.18%),31.31,13.89,1.45,-4.22,-7.18,6.01
EMA_SAR_140_160_5m,5m,140,160,Stop-and-Reverse (SAR),10000.0,14192.39,4192.39,41.92,102.6,89.02,21.63,3643.81,9.56,2026-06-08T21:40,2026-05-30T04:30,1848.8,1.15,1.48,1.95,4.74,1.01,65.1,184,32.6,67.4,1.18,0.24,22.79,3.35,1.26,2.65,3,8,22.14,-7.04,23.6,92,30.4,-1214.6,92,34.8,5407.04,99.9,1840.0,18.4,4,2,Jan (+31.17%),May (-6.57%),31.17,12.55,1.62,-4.42,-6.57,5.95
EMA_SAR_75_150_5m,5m,75,150,Stop-and-Reverse (SAR),10000.0,14160.17,4160.17,41.6,101.67,88.7,22.45,4030.74,8.19,2026-06-08T21:40,2026-06-29T16:50,1926.4,1.03,1.47,1.95,4.53,1.01,65.8,284,29.6,70.4,1.14,0.16,14.65,2.85,0.97,2.93,4,11,23.26,-4.68,15.3,142,31.7,-1070.17,142,27.5,5230.34,99.9,2840.0,28.4,5,1,Jan (+27.59%),May (-15.31%),27.59,21.26,0.43,6.35,-15.31,1.18
EMA_SAR_75_160_5m,5m,75,160,Stop-and-Reverse (SAR),10000.0,14146.23,4146.23,41.46,101.27,88.56,24.43,4502.35,7.52,2026-06-08T21:40,2026-06-29T16:50,1033.0,0.92,1.47,1.95,4.15,1.01,61.8,280,28.9,71.1,1.14,0.16,14.81,2.96,0.98,3.03,4,11,23.1,-5.53,15.5,140,28.6,-1080.94,140,29.3,5227.15,99.9,2800.0,28.0,3,3,Jan (+25.19%),May (-12.08%),25.19,24.06,-1.16,6.46,-12.08,-1.55
EMA_SAR_115_200_5m,5m,115,200,Stop-and-Reverse (SAR),10000.0,14141.67,4141.67,41.42,101.14,88.52,22.15,3718.48,9.92,2026-06-08T21:40,2026-05-30T04:30,1848.8,1.11,1.47,1.94,4.57,1.01,64.8,180,30.0,70.0,1.18,0.24,23.01,3.72,1.24,2.99,3,10,21.73,-7.09,24.1,90,28.9,-1243.45,90,31.1,5385.11,99.9,1800.0,18.0,4,2,Jan (+30.45%),May (-6.17%),30.45,13.7,0.96,-5.44,-6.17,6.44
EMA_SAR_130_175_5m,5m,130,175,Stop-and-Reverse (SAR),10000.0,14138.75,4138.75,41.39,101.06,88.49,21.79,3646.47,9.56,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.14,1.47,1.93,4.64,1.01,64.9,182,31.3,68.7,1.18,0.24,22.74,3.54,1.26,2.81,3,10,21.98,-7.04,23.8,91,29.7,-1229.6,91,33.0,5368.34,99.9,1820.0,18.2,4,2,Jan (+31.10%),May (-7.03%),31.1,11.95,2.48,-4.81,-7.03,6.22
EMA_SAR_80_170_5m,5m,80,170,Stop-and-Reverse (SAR),10000.0,14121.76,4121.76,41.22,100.57,88.32,24.87,4609.99,7.34,2026-06-08T21:40,2026-06-30T06:25,1870.7,0.89,1.46,1.94,4.04,1.01,63.4,260,30.4,69.6,1.15,0.17,15.85,2.81,0.98,2.86,4,12,23.03,-5.47,16.7,130,30.8,-1269.49,130,30.0,5391.24,99.9,2600.0,26.0,4,2,Jan (+26.02%),May (-9.19%),26.02,20.93,1.21,3.66,-9.19,-2.74
EMA_SAR_130_170_5m,5m,130,170,Stop-and-Reverse (SAR),10000.0,14119.47,4119.47,41.19,100.51,88.29,21.61,3633.84,9.75,2026-06-08T21:40,2026-05-30T04:30,1848.8,1.13,1.46,1.93,4.65,1.01,64.8,184,32.6,67.4,1.18,0.24,22.39,3.36,1.27,2.64,3,8,21.61,-7.04,23.6,92,30.4,-1235.81,92,34.8,5355.31,99.9,1840.0,18.4,4,2,Jan (+30.73%),May (-5.80%),30.73,12.47,0.93,-4.32,-5.8,5.56
EMA_SAR_145_155_5m,5m,145,155,Stop-and-Reverse (SAR),10000.0,14111.94,4111.94,41.12,100.29,88.22,22.1,3740.95,9.65,2026-06-08T21:40,2026-05-30T04:30,1848.8,1.1,1.46,1.92,4.54,1.01,64.7,184,33.2,66.8,1.18,0.24,22.35,3.29,1.27,2.58,3,8,22.14,-7.04,23.6,92,31.5,-1248.63,92,34.8,5360.55,99.9,1840.0,18.4,4,2,Jan (+31.31%),May (-6.55%),31.31,12.9,1.98,-5.27,-6.55,5.44
EMA_SAR_145_165_5m,5m,145,165,Stop-and-Reverse (SAR),10000.0,14089.96,4089.96,40.9,99.66,88.0,22.06,3684.13,9.47,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.11,1.46,1.92,4.52,1.01,64.6,184,31.5,68.5,1.18,0.24,22.23,3.55,1.25,2.84,3,9,21.55,-7.05,23.6,92,30.4,-1256.43,92,32.6,5346.44,99.9,1840.0,18.4,4,2,Jan (+30.57%),May (-7.85%),30.57,14.52,1.75,-5.65,-7.85,6.53
EMA_SAR_135_170_5m,5m,135,170,Stop-and-Reverse (SAR),10000.0,14064.22,4064.22,40.64,98.93,87.74,22.08,3692.31,9.6,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.1,1.45,1.91,4.48,1.01,64.4,182,31.3,68.7,1.18,0.24,22.33,3.55,1.27,2.79,3,10,21.98,-7.09,23.8,91,29.7,-1257.66,91,33.0,5321.85,99.9,1820.0,18.2,4,2,Jan (+31.49%),May (-6.95%),31.49,12.68,1.2,-5.06,-6.95,6.18
EMA_SAR_80_165_5m,5m,80,165,Stop-and-Reverse (SAR),10000.0,14040.61,4040.61,40.41,98.25,87.51,24.4,4467.69,7.37,2026-06-08T21:40,2026-06-30T06:25,1028.9,0.9,1.44,1.92,4.03,1.01,63.2,262,30.5,69.5,1.15,0.17,15.42,2.87,1.0,2.87,4,10,23.06,-5.47,16.6,131,32.1,-1302.12,131,29.0,5342.67,99.9,2620.0,26.2,4,2,Jan (+28.71%),May (-10.06%),28.71,18.25,0.22,4.56,-10.06,-2.12
EMA_SAR_130_195_5m,5m,130,195,Stop-and-Reverse (SAR),10000.0,14031.19,4031.19,40.31,97.99,87.41,27.49,4810.59,11.29,2026-03-22T21:15,2026-06-02T02:05,2402.7,0.84,1.44,1.9,3.56,1.01,61.0,182,31.9,68.1,1.18,0.24,22.15,3.46,1.27,2.72,3,8,20.39,-7.13,23.8,91,29.7,-1278.86,91,34.1,5310.0,99.9,1820.0,18.2,3,3,Jan (+32.75%),May (-9.37%),32.75,18.55,-0.44,-8.92,-9.37,8.49
EMA_SAR_55_190_5m,5m,55,190,Stop-and-Reverse (SAR),10000.0,14027.8,4027.8,40.28,97.89,87.38,24.57,4303.77,9.76,2026-03-19T15:40,2026-06-02T06:30,2480.2,0.94,1.44,1.92,3.98,1.01,62.9,304,28.9,71.1,1.14,0.15,13.25,2.77,0.93,3.0,4,14,23.37,-4.55,14.3,152,29.6,-1165.43,152,28.3,5193.2,99.9,3040.0,30.4,4,2,Jan (+31.87%),May (-13.07%),31.87,22.94,-6.43,3.72,-13.07,2.55
EMA_SAR_65_160_5m,5m,65,160,Stop-and-Reverse (SAR),10000.0,14022.29,4022.29,40.22,97.73,87.32,23.73,4104.71,8.34,2026-06-08T21:40,2026-06-02T02:05,1926.4,0.98,1.44,1.91,4.12,1.01,63.1,294,28.6,71.4,1.13,0.15,13.68,2.9,0.95,3.06,3,12,22.95,-4.55,14.8,147,29.3,-1071.23,147,27.9,5093.55,99.9,2940.0,29.4,4,2,Jan (+30.03%),May (-17.60%),30.03,25.14,-5.56,6.57,-17.6,3.91
EMA_SAR_125_175_5m,5m,125,175,Stop-and-Reverse (SAR),10000.0,14013.69,4013.69,40.14,97.49,87.24,22.28,3746.06,9.92,2026-06-08T21:40,2026-06-02T07:15,1848.8,1.07,1.44,1.89,4.38,1.01,64.2,186,33.3,66.7,1.18,0.23,21.58,3.23,1.27,2.55,3,8,21.61,-7.04,23.3,93,32.3,-1300.89,93,34.4,5314.61,99.9,1860.0,18.6,4,2,Jan (+31.39%),May (-6.84%),31.39,10.71,1.7,-3.5,-6.84,5.37
EMA_SAR_140_170_5m,5m,140,170,Stop-and-Reverse (SAR),10000.0,14004.2,4004.2,40.04,97.22,87.14,21.31,3522.07,9.49,2026-06-24T17:55,2026-05-30T04:30,1848.8,1.14,1.43,1.89,4.56,1.01,64.4,184,30.4,69.6,1.18,0.23,21.76,3.62,1.25,2.9,3,10,21.51,-7.05,23.6,92,29.3,-1288.56,92,31.5,5292.81,99.9,1840.0,18.4,4,2,Jan (+29.53%),May (-6.82%),29.53,13.84,1.39,-5.19,-6.82,6.02
EMA_SAR_95_130_5m,5m,95,130,Stop-and-Reverse (SAR),10000.0,13982.72,3982.72,39.83,96.61,86.93,24.39,4443.45,8.01,2026-06-08T21:40,2026-06-29T16:50,1913.2,0.9,1.43,1.9,3.96,1.01,62.9,270,28.9,71.1,1.14,0.16,14.75,3.08,1.0,3.08,4,10,23.23,-5.53,16.1,135,28.1,-1157.78,135,29.6,5140.54,99.9,2700.0,27.0,4,2,Jan (+24.62%),May (-13.79%),24.62,20.65,2.41,6.7,-13.79,-1.28
EMA_SAR_155_165_5m,5m,155,165,Stop-and-Reverse (SAR),10000.0,13965.72,3965.72,39.66,96.13,86.76,26.28,4525.54,10.97,2026-03-22T21:15,2026-06-02T07:15,2402.7,0.88,1.42,1.88,3.66,1.01,61.1,178,32.6,67.4,1.17,0.24,22.28,3.45,1.31,2.63,3,8,20.16,-7.13,24.4,89,30.3,-1301.81,89,34.8,5267.56,99.9,1780.0,17.8,3,3,Jan (+31.61%),May (-8.77%),31.61,19.28,-2.41,-7.08,-8.77,7.53
EMA_SAR_85_160_5m,5m,85,160,Stop-and-Reverse (SAR),10000.0,13959.37,3959.37,39.59,95.95,86.69,25.34,4672.99,7.1,2026-06-08T21:40,2026-06-30T06:25,1862.5,0.85,1.42,1.89,3.79,1.01,62.6,258,30.6,69.4,1.15,0.17,15.35,2.88,1.01,2.85,4,12,23.15,-5.47,16.8,129,31.0,-1337.34,129,30.2,5296.71,99.9,2580.0,25.8,4,2,Jan (+26.77%),May (-8.08%),26.77,18.1,0.69,4.21,-8.08,-3.34
EMA_SAR_75_185_5m,5m,75,185,Stop-and-Reverse (SAR),10000.0,13947.84,3947.84,39.48,95.62,86.58,23.31,4180.38,8.11,2026-06-08T21:40,2026-06-30T06:25,1870.2,0.94,1.42,1.89,4.1,1.01,63.3,260,29.6,70.4,1.15,0.16,15.18,2.89,0.98,2.94,4,12,22.72,-5.36,16.7,130,30.0,-1296.72,130,29.2,5244.56,99.9,2600.0,26.0,4,2,Jan (+24.83%),May (-7.43%),24.83,17.14,0.7,2.98,-7.43,-0.63
EMA_SAR_15_25_30m,30m,15,25,Stop-and-Reverse (SAR),10000.0,13946.83,3946.83,39.47,95.6,86.57,25.18,4627.97,7.54,2026-06-08T21:00,2026-06-30T06:00,1875.5,0.85,1.43,2.01,3.8,1.03,61.1,268,30.2,69.8,1.14,0.16,14.73,2.85,0.98,2.9,4,13,22.78,-6.75,16.1,134,32.1,-1312.03,134,28.4,5258.89,99.4,2680.0,26.8,3,3,Feb (+27.96%),May (-7.89%),21.82,27.96,-3.92,5.45,-7.89,-4.12
