trade_id,strategy,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,5M_EMA_SAR_20_200,LONG,2026-01-01T16:40,2985.67,2026-01-03T07:15,3093.94,463,38.58,10000.0,362.63,3.63,10362.63,Signal Flip
2,5M_EMA_SAR_20_200,SHORT,2026-01-03T07:15,3093.94,2026-01-03T13:40,3108.58,77,6.42,10362.63,-49.04,-0.47,10313.59,Signal Flip
3,5M_EMA_SAR_20_200,LONG,2026-01-03T13:40,3108.58,2026-01-04T15:45,3129.64,313,26.08,10313.59,69.88,0.68,10383.47,Signal Flip
4,5M_EMA_SAR_20_200,SHORT,2026-01-04T15:45,3129.64,2026-01-04T17:05,3141.36,16,1.33,10383.47,-38.87,-0.37,10344.6,Signal Flip
5,5M_EMA_SAR_20_200,LONG,2026-01-04T17:05,3141.36,2026-01-04T18:20,3127.33,15,1.25,10344.6,-46.22,-0.45,10298.38,Signal Flip
6,5M_EMA_SAR_20_200,SHORT,2026-01-04T18:20,3127.33,2026-01-04T20:50,3141.0,30,2.5,10298.38,-45.03,-0.44,10253.35,Signal Flip
7,5M_EMA_SAR_20_200,LONG,2026-01-04T20:50,3141.0,2026-01-05T06:50,3154.6,120,10.0,10253.35,44.4,0.43,10297.76,Signal Flip
8,5M_EMA_SAR_20_200,SHORT,2026-01-05T06:50,3154.6,2026-01-05T07:05,3161.21,3,0.25,10297.76,-21.57,-0.21,10276.19,Signal Flip
9,5M_EMA_SAR_20_200,LONG,2026-01-05T07:05,3161.21,2026-01-05T13:55,3149.48,82,6.83,10276.19,-38.12,-0.37,10238.07,Signal Flip
10,5M_EMA_SAR_20_200,SHORT,2026-01-05T13:55,3149.48,2026-01-05T15:35,3181.0,20,1.67,10238.07,-102.45,-1.0,10135.62,Signal Flip
11,5M_EMA_SAR_20_200,LONG,2026-01-05T15:35,3181.0,2026-01-06T18:05,3205.36,318,26.5,10135.62,77.61,0.77,10213.23,Signal Flip
12,5M_EMA_SAR_20_200,SHORT,2026-01-06T18:05,3205.36,2026-01-06T20:50,3248.89,33,2.75,10213.23,-138.72,-1.36,10074.51,Signal Flip
13,5M_EMA_SAR_20_200,LONG,2026-01-06T20:50,3248.89,2026-01-07T06:10,3248.22,112,9.33,10074.51,-2.1,-0.02,10072.41,Signal Flip
14,5M_EMA_SAR_20_200,SHORT,2026-01-07T06:10,3248.22,2026-01-07T07:30,3261.47,16,1.33,10072.41,-41.1,-0.41,10031.3,Signal Flip
15,5M_EMA_SAR_20_200,LONG,2026-01-07T07:30,3261.47,2026-01-07T09:10,3237.88,20,1.67,10031.3,-72.55,-0.72,9958.75,Signal Flip
16,5M_EMA_SAR_20_200,SHORT,2026-01-07T09:10,3237.88,2026-01-09T04:25,3123.01,519,43.25,9958.75,353.3,3.55,10312.05,Signal Flip
17,5M_EMA_SAR_20_200,LONG,2026-01-09T04:25,3123.01,2026-01-09T05:50,3113.77,17,1.42,10312.05,-30.5,-0.3,10281.55,Signal Flip
18,5M_EMA_SAR_20_200,SHORT,2026-01-09T05:50,3113.77,2026-01-09T06:00,3120.07,2,0.17,10281.55,-20.79,-0.2,10260.76,Signal Flip
19,5M_EMA_SAR_20_200,LONG,2026-01-09T06:00,3120.07,2026-01-09T08:05,3102.6,25,2.08,10260.76,-57.46,-0.56,10203.3,Signal Flip
20,5M_EMA_SAR_20_200,SHORT,2026-01-09T08:05,3102.6,2026-01-09T16:10,3122.01,97,8.08,10203.3,-63.84,-0.63,10139.46,Signal Flip
21,5M_EMA_SAR_20_200,LONG,2026-01-09T16:10,3122.01,2026-01-09T18:40,3088.11,30,2.5,10139.46,-110.11,-1.09,10029.35,Signal Flip
22,5M_EMA_SAR_20_200,SHORT,2026-01-09T18:40,3088.11,2026-01-10T09:40,3094.38,180,15.0,10029.35,-20.37,-0.2,10008.98,Signal Flip
23,5M_EMA_SAR_20_200,LONG,2026-01-10T09:40,3094.38,2026-01-10T19:00,3091.3,112,9.33,10008.98,-9.94,-0.1,9999.04,Signal Flip
24,5M_EMA_SAR_20_200,SHORT,2026-01-10T19:00,3091.3,2026-01-11T01:55,3095.88,83,6.92,9999.04,-14.79,-0.15,9984.24,Signal Flip
25,5M_EMA_SAR_20_200,LONG,2026-01-11T01:55,3095.88,2026-01-11T23:05,3093.99,254,21.17,9984.24,-6.08,-0.06,9978.17,Signal Flip
26,5M_EMA_SAR_20_200,SHORT,2026-01-11T23:05,3093.99,2026-01-11T23:35,3116.0,6,0.5,9978.17,-70.97,-0.71,9907.2,Signal Flip
27,5M_EMA_SAR_20_200,LONG,2026-01-11T23:35,3116.0,2026-01-11T23:40,3109.73,1,0.08,9907.2,-19.91,-0.2,9887.29,Signal Flip
28,5M_EMA_SAR_20_200,SHORT,2026-01-11T23:40,3109.73,2026-01-11T23:45,3122.46,1,0.08,9887.29,-40.46,-0.41,9846.82,Signal Flip
29,5M_EMA_SAR_20_200,LONG,2026-01-11T23:45,3122.46,2026-01-12T08:55,3115.5,110,9.17,9846.82,-21.95,-0.22,9824.88,Signal Flip
30,5M_EMA_SAR_20_200,SHORT,2026-01-12T08:55,3115.5,2026-01-12T16:30,3144.79,91,7.58,9824.88,-92.37,-0.94,9732.51,Signal Flip
31,5M_EMA_SAR_20_200,LONG,2026-01-12T16:30,3144.79,2026-01-12T17:35,3090.54,13,1.08,9732.51,-167.89,-1.72,9564.63,Signal Flip
32,5M_EMA_SAR_20_200,SHORT,2026-01-12T17:35,3090.54,2026-01-13T04:05,3118.04,126,10.5,9564.63,-85.09,-0.89,9479.54,Signal Flip
33,5M_EMA_SAR_20_200,LONG,2026-01-13T04:05,3118.04,2026-01-15T01:25,3325.02,544,45.33,9479.54,629.26,6.64,10108.8,Signal Flip
34,5M_EMA_SAR_20_200,SHORT,2026-01-15T01:25,3325.02,2026-01-15T08:55,3336.82,90,7.5,10108.8,-35.88,-0.35,10072.92,Signal Flip
35,5M_EMA_SAR_20_200,LONG,2026-01-15T08:55,3336.82,2026-01-15T15:50,3292.78,83,6.92,10072.92,-132.93,-1.32,9939.99,Signal Flip
36,5M_EMA_SAR_20_200,SHORT,2026-01-15T15:50,3292.78,2026-01-16T08:20,3319.36,198,16.5,9939.99,-80.23,-0.81,9859.77,Signal Flip
37,5M_EMA_SAR_20_200,LONG,2026-01-16T08:20,3319.36,2026-01-16T10:05,3304.21,21,1.75,9859.77,-45.01,-0.46,9814.76,Signal Flip
38,5M_EMA_SAR_20_200,SHORT,2026-01-16T10:05,3304.21,2026-01-16T23:35,3298.9,162,13.5,9814.76,15.77,0.16,9830.53,Signal Flip
39,5M_EMA_SAR_20_200,LONG,2026-01-16T23:35,3298.9,2026-01-17T00:45,3290.74,14,1.17,9830.53,-24.3,-0.25,9806.23,Signal Flip
40,5M_EMA_SAR_20_200,SHORT,2026-01-17T00:45,3290.74,2026-01-17T01:20,3296.22,7,0.58,9806.23,-16.31,-0.17,9789.92,Signal Flip
41,5M_EMA_SAR_20_200,LONG,2026-01-17T01:20,3296.22,2026-01-17T01:35,3289.72,3,0.25,9789.92,-19.28,-0.2,9770.63,Signal Flip
42,5M_EMA_SAR_20_200,SHORT,2026-01-17T01:35,3289.72,2026-01-17T08:25,3295.03,82,6.83,9770.63,-15.75,-0.16,9754.88,Signal Flip
43,5M_EMA_SAR_20_200,LONG,2026-01-17T08:25,3295.03,2026-01-17T23:00,3300.36,175,14.58,9754.88,15.79,0.16,9770.67,Signal Flip
44,5M_EMA_SAR_20_200,SHORT,2026-01-17T23:00,3300.36,2026-01-18T00:15,3313.96,15,1.25,9770.67,-40.25,-0.41,9730.41,Signal Flip
45,5M_EMA_SAR_20_200,LONG,2026-01-18T00:15,3313.96,2026-01-18T01:00,3302.87,9,0.75,9730.41,-32.56,-0.33,9697.86,Signal Flip
46,5M_EMA_SAR_20_200,SHORT,2026-01-18T01:00,3302.87,2026-01-18T03:45,3317.77,33,2.75,9697.86,-43.75,-0.45,9654.11,Signal Flip
47,5M_EMA_SAR_20_200,LONG,2026-01-18T03:45,3317.77,2026-01-18T08:15,3305.38,54,4.5,9654.11,-36.06,-0.37,9618.05,Signal Flip
