trade_id,strategy,timeframe,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_209_223_1h,1h,LONG,2026-01-03T02:00,3132.38,2026-01-21T06:00,2991.53,436,436.0,10000.0,-449.63,-4.5,9550.37,Signal Flip
2,EMA_SAR_209_223_1h,1h,SHORT,2026-01-21T06:00,2991.53,2026-03-04T13:00,2055.37,1015,1015.0,9550.37,2988.68,31.29,12539.05,Signal Flip
3,EMA_SAR_209_223_1h,1h,LONG,2026-03-04T13:00,2055.37,2026-03-27T00:00,2059.4,539,539.0,12539.05,24.6,0.2,12563.65,Signal Flip
4,EMA_SAR_209_223_1h,1h,SHORT,2026-03-27T00:00,2059.4,2026-04-06T21:00,2149.87,261,261.0,12563.65,-551.95,-4.39,12011.69,Signal Flip
5,EMA_SAR_209_223_1h,1h,LONG,2026-04-06T21:00,2149.87,2026-04-30T02:00,2268.23,557,557.0,12011.69,661.25,5.51,12672.94,Signal Flip
6,EMA_SAR_209_223_1h,1h,SHORT,2026-04-30T02:00,2268.23,2026-05-04T03:00,2375.92,97,97.0,12672.94,-601.69,-4.75,12071.25,Signal Flip
7,EMA_SAR_209_223_1h,1h,LONG,2026-05-04T03:00,2375.92,2026-05-12T17:00,2262.7,206,206.0,12071.25,-575.23,-4.77,11496.02,Signal Flip
8,EMA_SAR_209_223_1h,1h,SHORT,2026-05-12T17:00,2262.7,2026-06-30T23:00,1572.8,1182,1182.0,11496.02,3505.16,30.49,15001.18,End of Period Settlement
