trade_id,strategy,timeframe,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_50_200_30m,30m,LONG,2026-01-02T01:00,3007.65,2026-01-08T06:30,3116.23,299,149.5,10000.0,361.01,3.61,10361.01,Signal Flip
2,EMA_SAR_50_200_30m,30m,SHORT,2026-01-08T06:30,3116.23,2026-01-12T03:30,3165.58,186,93.0,10361.01,-164.08,-1.58,10196.92,Signal Flip
3,EMA_SAR_50_200_30m,30m,LONG,2026-01-12T03:30,3165.58,2026-01-12T21:30,3097.83,36,18.0,10196.92,-218.24,-2.14,9978.68,Signal Flip
4,EMA_SAR_50_200_30m,30m,SHORT,2026-01-12T21:30,3097.83,2026-01-13T09:30,3144.49,24,12.0,9978.68,-150.3,-1.51,9828.38,Signal Flip
5,EMA_SAR_50_200_30m,30m,LONG,2026-01-13T09:30,3144.49,2026-01-19T04:30,3210.99,278,139.0,9828.38,207.86,2.11,10036.24,Signal Flip
6,EMA_SAR_50_200_30m,30m,SHORT,2026-01-19T04:30,3210.99,2026-01-27T21:00,3022.29,417,208.5,10036.24,589.81,5.88,10626.04,Signal Flip
7,EMA_SAR_50_200_30m,30m,LONG,2026-01-27T21:00,3022.29,2026-01-29T15:00,2874.85,84,42.0,10626.04,-518.38,-4.88,10107.67,Signal Flip
8,EMA_SAR_50_200_30m,30m,SHORT,2026-01-29T15:00,2874.85,2026-02-13T22:00,2055.06,734,367.0,10107.67,2882.31,28.52,12989.97,Signal Flip
9,EMA_SAR_50_200_30m,30m,LONG,2026-02-13T22:00,2055.06,2026-02-15T20:30,1948.59,93,46.5,12989.97,-673.01,-5.18,12316.97,Signal Flip
10,EMA_SAR_50_200_30m,30m,SHORT,2026-02-15T20:30,1948.59,2026-02-21T16:30,1984.99,280,140.0,12316.97,-230.13,-1.87,12086.84,Signal Flip
11,EMA_SAR_50_200_30m,30m,LONG,2026-02-21T16:30,1984.99,2026-02-22T15:30,1953.03,46,23.0,12086.84,-194.6,-1.61,11892.24,Signal Flip
12,EMA_SAR_50_200_30m,30m,SHORT,2026-02-22T15:30,1953.03,2026-02-25T15:30,2001.54,144,72.0,11892.24,-295.37,-2.48,11596.87,Signal Flip
13,EMA_SAR_50_200_30m,30m,LONG,2026-02-25T15:30,2001.54,2026-02-27T22:00,1920.3,109,54.5,11596.87,-470.71,-4.06,11126.17,Signal Flip
14,EMA_SAR_50_200_30m,30m,SHORT,2026-02-27T22:00,1920.3,2026-03-01T06:00,2012.25,64,32.0,11126.17,-532.73,-4.79,10593.43,Signal Flip
15,EMA_SAR_50_200_30m,30m,LONG,2026-03-01T06:00,2012.25,2026-03-02T08:30,1926.05,53,26.5,10593.43,-453.79,-4.28,10139.64,Signal Flip
16,EMA_SAR_50_200_30m,30m,SHORT,2026-03-02T08:30,1926.05,2026-03-02T16:00,2048.35,15,7.5,10139.64,-643.88,-6.35,9495.75,Signal Flip
17,EMA_SAR_50_200_30m,30m,LONG,2026-03-02T16:00,2048.35,2026-03-06T18:30,1975.83,197,98.5,9495.75,-336.2,-3.54,9159.56,Signal Flip
18,EMA_SAR_50_200_30m,30m,SHORT,2026-03-06T18:30,1975.83,2026-03-09T19:30,2051.05,146,73.0,9159.56,-348.67,-3.81,8810.88,Signal Flip
19,EMA_SAR_50_200_30m,30m,LONG,2026-03-09T19:30,2051.05,2026-03-19T04:00,2211.18,449,224.5,8810.88,687.92,7.81,9498.81,Signal Flip
20,EMA_SAR_50_200_30m,30m,SHORT,2026-03-19T04:00,2211.18,2026-03-24T06:30,2138.62,245,122.5,9498.81,311.73,3.28,9810.53,Signal Flip
21,EMA_SAR_50_200_30m,30m,LONG,2026-03-24T06:30,2138.62,2026-03-26T11:00,2077.61,105,52.5,9810.53,-279.86,-2.85,9530.67,Signal Flip
22,EMA_SAR_50_200_30m,30m,SHORT,2026-03-26T11:00,2077.61,2026-03-30T15:30,2068.83,201,100.5,9530.67,40.26,0.42,9570.93,Signal Flip
23,EMA_SAR_50_200_30m,30m,LONG,2026-03-30T15:30,2068.83,2026-03-30T23:30,2023.9,16,8.0,9570.93,-207.89,-2.17,9363.04,Signal Flip
