trade_id,strategy,timeframe,fast_ema,slow_ema,direction,entry_time,entry_price,exit_time,exit_price,duration_bars,duration_hours,invested_usd,realized_pnl_usd,realized_pnl_pct,portfolio_after,exit_reason
1,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-01-02T01:00,3007.65,2026-01-09T21:30,3086.04,377,188.5,10000.0,260.61,2.61,10260.61,Signal Direction Flip
2,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-01-09T21:30,3086.04,2026-01-13T18:30,3194.6,186,93.0,10260.61,-360.95,-3.52,9899.67,Signal Direction Flip
3,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-01-13T18:30,3194.6,2026-01-20T03:30,3187.31,306,153.0,9899.67,-22.59,-0.23,9877.07,Signal Direction Flip
4,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-01-20T03:30,3187.31,2026-02-15T10:00,2069.73,1261,630.5,9877.07,3463.22,35.06,13340.29,Signal Direction Flip
5,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-02-15T10:00,2069.73,2026-02-15T15:30,2002.81,11,5.5,13340.29,-431.37,-3.23,12908.92,Signal Direction Flip
6,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-02-15T15:30,2002.81,2026-02-26T02:30,2046.68,502,251.0,12908.92,-282.79,-2.19,12626.13,Signal Direction Flip
7,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-02-26T02:30,2046.68,2026-02-28T11:30,1877.68,114,57.0,12626.13,-1042.59,-8.26,11583.54,Signal Direction Flip
8,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-02-28T11:30,1877.68,2026-03-01T06:30,2001.68,38,19.0,11583.54,-764.96,-6.6,10818.58,Signal Direction Flip
9,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-03-01T06:30,2001.68,2026-03-07T22:30,1965.8,320,160.0,10818.58,-193.94,-1.79,10624.64,Signal Direction Flip
10,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-03-07T22:30,1965.8,2026-03-10T10:30,2062.35,120,60.0,10624.64,-521.85,-4.91,10102.79,Signal Direction Flip
11,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-03-10T10:30,2062.35,2026-03-20T19:30,2124.06,498,249.0,10102.79,302.28,2.99,10405.07,Signal Direction Flip
12,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-03-20T19:30,2124.06,2026-03-25T20:00,2173.77,241,120.5,10405.07,-243.51,-2.34,10161.56,Signal Direction Flip
13,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-03-25T20:00,2173.77,2026-03-26T10:00,2081.59,28,14.0,10161.56,-430.9,-4.24,9730.67,Signal Direction Flip
14,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-03-26T10:00,2081.59,2026-04-01T08:00,2132.07,284,142.0,9730.67,-235.96,-2.42,9494.71,Signal Direction Flip
15,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-04-01T08:00,2132.07,2026-04-03T17:00,2053.67,114,57.0,9494.71,-349.11,-3.68,9145.6,Signal Direction Flip
16,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-04-03T17:00,2053.67,2026-04-06T03:30,2136.9,117,58.5,9145.6,-370.63,-4.05,8774.97,Signal Direction Flip
17,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-04-06T03:30,2136.9,2026-04-21T17:00,2306.29,747,373.5,8774.97,695.58,7.93,9470.55,Signal Direction Flip
18,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-04-21T17:00,2306.29,2026-04-22T04:00,2364.81,22,11.0,9470.55,-240.33,-2.54,9230.22,Signal Direction Flip
19,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-04-22T04:00,2364.81,2026-04-24T17:30,2314.18,123,61.5,9230.22,-197.61,-2.14,9032.61,Signal Direction Flip
20,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-04-24T17:30,2314.18,2026-04-26T22:30,2369.14,106,53.0,9032.61,-214.52,-2.37,8818.08,Signal Direction Flip
21,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-04-26T22:30,2369.14,2026-04-27T17:30,2286.87,38,19.0,8818.08,-306.24,-3.47,8511.84,Signal Direction Flip
22,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-04-27T17:30,2286.87,2026-05-03T13:00,2326.87,279,139.5,8511.84,-148.91,-1.75,8362.93,Signal Direction Flip
23,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-05-03T13:00,2326.87,2026-05-08T04:00,2277.63,222,111.0,8362.93,-176.98,-2.12,8185.95,Signal Direction Flip
24,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-05-08T04:00,2277.63,2026-05-10T22:00,2331.96,132,66.0,8185.95,-195.25,-2.39,7990.71,Signal Direction Flip
25,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-05-10T22:00,2331.96,2026-05-12T09:00,2286.86,70,35.0,7990.71,-154.54,-1.93,7836.17,Signal Direction Flip
26,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-05-12T09:00,2286.86,2026-06-15T01:00,1721.69,1616,808.0,7836.17,1936.6,24.71,9772.77,Signal Direction Flip
27,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-06-15T01:00,1721.69,2026-06-19T20:30,1701.95,231,115.5,9772.77,-112.06,-1.15,9660.71,Signal Direction Flip
28,EMA_SAR_209_223_30m,30m,20,200,SHORT,2026-06-19T20:30,1701.95,2026-06-21T02:00,1737.87,59,29.5,9660.71,-203.89,-2.11,9456.82,Signal Direction Flip
29,EMA_SAR_209_223_30m,30m,20,200,LONG,2026-06-21T02:00,1737.87,2026-06-23T09:00,1647.65,110,55.0,9456.82,-490.96,-5.19,8965.86,Signal Direction Flip
