strategy,timeframe,total_return_pct,net_pnl_usd,final_equity,max_drawdown_pct,sharpe,sortino,calmar,win_rate_pct,profit_factor,expectancy_pct,total_trades,avg_hold_hours,exposure_pct,fees_applied_pct,strategy_base,method,fast_ema,slow_ema
EMA_SAR_20_200_30m,30m,-6.65,-665.29,9334.71,44.8,0.03,0.04,-0.29,25.0,0.94,0.01,80,54.0,99.4,8.0,EMA_SAR_20_200,Method 1: SAR,20,200.0
SINGLE_EMA_100_30m,30m,-7.25,-725.48,9274.52,38.66,0.03,0.04,-0.36,17.1,0.97,0.0,450,9.6,99.4,45.0,SINGLE_EMA_100,Method 3: Single EMA,100,
EMA_SAR_207_224_30m,30m,-7.33,-732.98,9267.02,45.58,-0.02,-0.03,-0.31,20.0,0.9,0.07,30,143.9,99.4,3.0,EMA_SAR_207_224,Method 1: SAR,207,224.0
EMA_SAR_20_100_1h,1h,-9.84,-983.62,9016.38,44.14,-0.11,-0.15,-0.43,27.6,0.9,-0.05,58,74.0,98.9,5.8,EMA_SAR_20_100,Method 1: SAR,20,100.0
EMA_SAR_50_200_1h,1h,-12.92,-1292.16,8707.84,43.75,-0.3,-0.39,-0.56,17.6,0.84,-0.1,34,126.3,98.9,3.4,EMA_SAR_50_200,Method 1: SAR,50,200.0
EMA_SAR_100_200_30m,30m,-14.59,-1458.7,8541.3,53.37,-0.31,-0.4,-0.51,26.5,0.83,-0.19,34,127.0,99.4,3.4,EMA_SAR_100_200,Method 1: SAR,100,200.0
EMA_SAR_20_200_1h,1h,-16.45,-1645.16,8354.84,48.66,-0.42,-0.57,-0.63,15.9,0.81,-0.21,44,97.6,98.9,4.4,EMA_SAR_20_200,Method 1: SAR,20,200.0
EMA_SAR_50_200_30m,30m,-16.83,-1682.82,8317.18,44.59,-0.4,-0.54,-0.7,27.8,0.83,-0.2,54,80.0,99.4,5.4,EMA_SAR_50_200,Method 1: SAR,50,200.0
EMA_SAR_50_100_1h,1h,-17.76,-1775.86,8224.14,53.42,-0.47,-0.61,-0.61,23.5,0.79,-0.3,34,126.3,98.9,3.4,EMA_SAR_50_100,Method 1: SAR,50,100.0
SINGLE_EMA_82_30m,30m,-19.86,-1985.51,8014.49,45.72,-0.48,-0.68,-0.79,16.1,0.91,-0.03,542,8.0,99.4,54.2,SINGLE_EMA_82,Method 3: Single EMA,82,
EMA_SAR_20_50_1h,1h,-20.2,-2019.99,7980.01,49.59,-0.54,-0.74,-0.74,29.1,0.83,-0.17,86,49.9,98.9,8.6,EMA_SAR_20_50,Method 1: SAR,20,50.0
EMA_SAR_50_100_30m,30m,-21.14,-2113.98,7886.02,54.34,-0.57,-0.76,-0.7,32.9,0.81,-0.21,76,56.8,99.4,7.6,EMA_SAR_50_100,Method 1: SAR,50,100.0
EMA_SAR_100_200_1h,1h,-21.97,-2196.73,7803.27,50.39,-0.72,-0.93,-0.78,20.8,0.72,-0.65,24,178.9,98.9,2.4,EMA_SAR_100_200,Method 1: SAR,100,200.0
