Strategy_Note,Logic,Fast_EMA,Slow_EMA,Y_Factor,Y_Value,X_Pct,Fixed_Add_USD,Max_Possible_Adds,Initial_Capital,Final_Equity,Total_Return_Pct,Max_Drawdown_Pct,Sharpe,Win_Rate_Pct,Profit_Factor,Total_Closed_Trades,Total_Series_Adds,Avg_Adds_Per_Trade,Base_Return_Pct,Alpha_vs_Base_Pct,Alpha_vs_BH_Pct,Pyramid_Added_Pct,M_Jan,M_Feb,M_Mar,M_Apr,M_May,M_Jun,M_Jul,M_Aug
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,5,500.0,20,10000.0,16920.75,69.21,16.53,2.29,43.75,4.08,16,266,16.6,102.39,-33.18,87.89,-33.18,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,15.67
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,10,1000.0,10,10000.0,16894.86,68.95,16.35,2.27,43.75,4.31,16,136,8.5,102.39,-33.44,87.63,-33.44,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,15.93
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,15,1500.0,6,10000.0,16520.75,65.21,15.21,2.3,43.75,4.4,16,86,5.4,102.39,-37.18,83.89,-37.18,15.24,12.84,-5.7,3.45,1.72,13.62,-1.18,14.76
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,20,2000.0,5,10000.0,16667.67,66.68,17.31,2.22,43.75,4.45,16,71,4.4,102.39,-35.71,85.36,-35.71,13.58,11.56,-5.66,3.8,1.86,15.47,-1.26,16.52
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,25,2500.0,4,10000.0,16572.41,65.72,17.64,2.24,43.75,4.56,16,56,3.5,102.39,-36.67,84.4,-36.67,12.89,10.89,-5.21,3.66,1.73,15.63,-1.27,16.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,30,3000.0,3,10000.0,16649.91,66.5,15.56,2.34,43.75,4.72,16,44,2.8,102.39,-35.89,85.18,-35.89,15.51,12.77,-4.66,3.13,1.36,13.55,-1.18,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(1) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,1.0,50,5000.0,2,10000.0,15964.18,59.64,18.95,2.06,43.75,5.05,16,29,1.8,102.39,-42.75,78.32,-42.75,8.62,7.53,-3.29,3.74,1.45,16.49,-1.56,18.05
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,5,500.0,20,10000.0,16346.33,63.46,19.37,2.15,43.75,3.72,16,264,16.5,102.39,-38.93,82.14,-38.93,14.84,13.54,-7.79,2.48,2.44,15.53,-1.87,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,10,1000.0,10,10000.0,16739.5,67.4,16.94,2.24,43.75,4.06,16,134,8.4,102.39,-34.99,86.08,-34.99,14.96,12.87,-7.78,4.55,2.73,15.14,-1.66,15.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,15,1500.0,6,10000.0,16397.51,63.98,15.17,2.27,43.75,4.18,16,83,5.2,102.39,-38.41,82.66,-38.41,14.93,12.92,-6.64,3.68,2.2,13.67,-1.2,14.45
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,20,2000.0,5,10000.0,16553.64,65.54,17.04,2.19,43.75,4.25,16,69,4.3,102.39,-36.85,84.22,-36.85,13.42,11.61,-6.62,4.05,2.23,15.55,-1.32,16.32
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,25,2500.0,4,10000.0,16422.28,64.22,17.54,2.16,43.75,4.27,16,56,3.5,102.39,-38.17,82.9,-38.17,12.8,10.91,-6.33,3.9,1.95,15.77,-1.31,16.67
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,30,3000.0,3,10000.0,16533.17,65.33,15.5,2.31,43.75,4.41,16,44,2.8,102.39,-37.06,84.01,-37.06,15.52,12.78,-5.61,3.18,1.68,13.62,-1.12,14.79
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(2) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,2.0,50,5000.0,2,10000.0,15804.27,58.04,19.14,2.02,43.75,4.62,16,29,1.8,102.39,-44.35,76.72,-44.35,8.62,7.53,-4.8,3.47,1.8,16.72,-1.33,18.13
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,5,500.0,20,10000.0,15409.71,54.1,19.07,1.97,50.0,3.59,16,263,16.4,102.39,-48.29,72.78,-48.29,13.17,13.79,-5.71,1.52,2.89,15.51,-2.15,8.21
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,10,1000.0,10,10000.0,16252.22,62.52,19.36,2.13,43.75,3.75,16,133,8.3,102.39,-39.87,81.2,-39.87,14.24,12.87,-7.57,2.6,2.5,15.62,-1.9,15.13
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,15,1500.0,6,10000.0,16332.89,63.33,15.49,2.29,43.75,4.07,16,82,5.1,102.39,-39.06,82.01,-39.06,15.45,12.75,-7.05,3.87,2.43,13.62,-1.68,14.32
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,20,2000.0,5,10000.0,16475.67,64.76,17.31,2.18,43.75,4.15,16,68,4.2,102.39,-37.63,83.44,-37.63,13.39,11.6,-7.21,4.37,2.87,15.43,-1.67,15.99
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,25,2500.0,4,10000.0,16371.22,63.71,17.66,2.16,43.75,4.23,16,55,3.4,102.39,-38.68,82.39,-38.68,12.89,10.88,-6.7,3.98,2.67,15.65,-1.42,16.04
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,30,3000.0,3,10000.0,16539.81,65.4,15.07,2.32,43.75,4.41,16,43,2.7,102.39,-36.99,84.08,-36.99,15.63,12.75,-5.83,3.45,2.12,13.54,-1.24,14.46
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(4) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,4.0,50,5000.0,2,10000.0,15777.43,57.77,18.88,2.01,43.75,4.54,16,29,1.8,102.39,-44.62,76.45,-44.62,8.72,7.52,-5.04,3.83,2.05,16.64,-1.46,17.65
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,5,500.0,20,10000.0,15141.24,51.41,17.69,1.94,50.0,3.69,16,248,15.5,102.39,-50.98,70.09,-50.98,11.81,14.01,-4.04,0.82,3.63,15.55,-2.07,5.39
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,10,1000.0,10,10000.0,15593.88,55.94,19.86,1.99,43.75,3.53,16,132,8.2,102.39,-46.45,74.62,-46.45,12.97,13.09,-6.7,1.88,2.58,15.72,-2.05,11.21
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,15,1500.0,6,10000.0,16060.73,60.61,17.17,2.22,43.75,3.83,16,81,5.1,102.39,-41.78,79.29,-41.78,14.59,12.86,-6.93,2.79,2.0,13.96,-1.77,14.42
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,20,2000.0,5,10000.0,16221.31,62.21,18.61,2.12,43.75,3.88,16,67,4.2,102.39,-40.18,80.89,-40.18,12.78,11.67,-7.52,3.99,2.22,15.8,-1.99,16.3
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,25,2500.0,4,10000.0,16210.06,62.1,18.12,2.11,43.75,4.06,16,54,3.4,102.39,-40.29,80.78,-40.29,11.96,11.08,-7.2,4.31,2.46,15.82,-1.88,16.53
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,30,3000.0,3,10000.0,16305.29,63.05,16.16,2.25,43.75,4.13,16,42,2.6,102.39,-39.34,81.73,-39.34,14.83,12.96,-6.41,3.19,1.94,13.76,-1.29,14.44
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(6) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,6.0,50,5000.0,2,10000.0,15699.39,56.99,19.04,1.99,43.75,4.42,16,28,1.8,102.39,-45.4,75.67,-45.4,8.59,7.53,-5.44,3.82,1.79,16.82,-1.53,17.91
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,5,500.0,20,10000.0,14493.92,44.94,16.82,1.86,43.75,3.7,16,211,13.2,102.39,-57.45,63.62,-57.45,10.81,14.26,-3.49,-1.77,3.8,16.32,-2.41,2.97
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,10,1000.0,10,10000.0,15064.28,50.64,18.07,1.92,50.0,3.72,16,127,7.9,102.39,-51.75,69.32,-51.75,11.39,13.29,-4.08,0.71,3.82,15.68,-2.03,5.72
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,15,1500.0,6,10000.0,15205.34,52.05,18.02,2.03,43.75,3.58,16,81,5.1,102.39,-50.34,70.73,-50.34,13.14,13.07,-5.78,1.3,2.51,14.08,-1.69,8.98
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,20,2000.0,5,10000.0,15408.62,54.09,20.55,1.95,43.75,3.59,16,67,4.2,102.39,-48.3,72.77,-48.3,11.51,11.78,-6.67,1.63,2.82,16.08,-1.95,12.16
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,25,2500.0,4,10000.0,15605.34,56.05,20.77,1.98,43.75,3.68,16,54,3.4,102.39,-46.34,74.73,-46.34,11.24,11.04,-7.08,2.06,2.4,16.35,-1.8,14.71
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,30,3000.0,3,10000.0,16129.49,61.29,17.36,2.23,43.75,3.91,16,42,2.6,102.39,-41.1,79.97,-41.1,14.99,12.82,-6.6,2.72,1.77,13.91,-1.61,14.35
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(12) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,12.0,50,5000.0,2,10000.0,15586.18,55.86,20.05,1.96,43.75,4.32,16,28,1.8,102.39,-46.53,74.54,-46.53,8.6,7.53,-5.82,3.48,2.53,16.74,-1.55,17.19
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,5,500.0,20,10000.0,12532.09,25.32,14.67,1.27,37.5,2.21,16,168,10.5,102.39,-77.07,44.0,-77.07,2.55,12.26,-5.79,-2.76,3.36,19.21,-5.15,2.12
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,10,1000.0,10,10000.0,14485.87,44.86,16.9,1.86,50.0,3.81,16,108,6.8,102.39,-57.53,63.54,-57.53,10.99,13.35,-3.52,-1.44,3.65,16.37,-2.49,3.44
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,15,1500.0,6,10000.0,14763.38,47.63,16.28,1.96,50.0,3.79,16,76,4.8,102.39,-54.76,66.31,-54.76,11.54,13.3,-3.58,0.17,3.33,14.2,-1.98,5.12
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,20,2000.0,5,10000.0,14865.15,48.65,18.9,1.87,50.0,3.75,16,66,4.1,102.39,-53.74,67.33,-53.74,10.51,11.86,-4.11,0.85,3.48,16.03,-2.43,6.89
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,25,2500.0,4,10000.0,14959.73,49.6,20.04,1.87,50.0,3.69,16,54,3.4,102.39,-52.79,68.28,-52.79,10.34,11.12,-5.06,1.46,2.82,16.2,-2.5,9.52
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,30,3000.0,3,10000.0,15522.09,55.22,17.87,2.12,43.75,3.75,16,42,2.6,102.39,-47.17,73.9,-47.17,14.02,12.91,-5.47,1.62,2.11,13.92,-1.95,10.7
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(24) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,24.0,50,5000.0,2,10000.0,15304.37,53.04,21.42,1.88,43.75,4.01,16,28,1.8,102.39,-49.35,71.72,-49.35,7.64,7.59,-5.87,2.99,1.48,17.28,-2.13,17.95
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,5,500.0,20,10000.0,11050.56,10.51,12.57,0.74,37.5,1.26,16,118,7.4,102.39,-91.88,29.19,-91.88,1.72,6.7,-5.22,-1.68,1.82,14.6,-7.29,1.24
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,10,1000.0,10,10000.0,12771.86,27.72,14.46,1.35,37.5,2.37,16,88,5.5,102.39,-74.67,46.4,-74.67,3.44,11.94,-5.06,-2.46,3.44,18.82,-4.63,2.08
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,15,1500.0,6,10000.0,14320.26,43.2,14.66,1.95,43.75,3.9,16,65,4.1,102.39,-59.19,61.88,-59.19,10.27,13.7,-2.73,-1.08,3.38,14.69,-2.03,2.63
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,20,2000.0,5,10000.0,14434.27,44.34,16.78,1.85,50.0,3.99,16,57,3.6,102.39,-58.05,63.02,-58.05,9.3,12.1,-2.43,-0.64,3.67,16.44,-2.16,3.45
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,25,2500.0,4,10000.0,14567.37,45.67,16.65,1.84,50.0,4.07,16,49,3.1,102.39,-56.72,64.35,-56.72,8.48,11.4,-2.33,0.8,3.59,16.32,-1.93,4.23
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,30,3000.0,3,10000.0,14966.45,49.66,16.13,2.02,50.0,3.94,16,41,2.6,102.39,-52.73,68.34,-52.73,12.3,13.22,-2.97,0.36,3.54,13.88,-1.87,5.1
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(48) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,48.0,50,5000.0,2,10000.0,14558.89,45.59,20.9,1.75,50.0,3.96,16,28,1.8,102.39,-56.8,64.27,-56.8,6.81,7.65,-3.72,1.46,3.18,16.8,-2.15,10.76
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,5,500.0,20,10000.0,10543.81,5.44,9.48,0.53,43.75,1.2,16,88,5.5,102.39,-96.95,24.12,-96.95,1.11,4.74,-4.39,-0.8,1.17,10.62,-7.26,1.35
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,10,1000.0,10,10000.0,11726.73,17.27,13.5,1.01,43.75,1.84,16,73,4.6,102.39,-85.12,35.95,-85.12,2.23,9.25,-5.87,-1.54,2.26,16.32,-6.82,2.53
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,15,1500.0,6,10000.0,12925.91,29.26,13.85,1.44,43.75,2.64,16,57,3.6,102.39,-73.13,47.94,-73.13,4.44,12.24,-5.66,-1.49,3.08,16.58,-4.01,3.29
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,20,2000.0,5,10000.0,13762.34,37.62,16.33,1.69,43.75,3.32,16,50,3.1,102.39,-64.77,56.3,-64.77,7.93,12.48,-5.18,-1.36,3.53,17.44,-3.77,4.09
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,25,2500.0,4,10000.0,14247.39,42.47,16.71,1.81,50.0,4.07,16,44,2.8,102.39,-59.92,61.15,-59.92,8.75,11.36,-3.68,-0.64,3.32,16.99,-2.56,4.91
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,30,3000.0,3,10000.0,14992.78,49.93,14.44,2.07,56.25,4.38,16,38,2.4,102.39,-52.46,68.61,-52.46,11.68,13.28,-2.87,1.39,2.12,14.3,-1.83,5.55
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(72) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,72.0,50,5000.0,2,10000.0,14459.41,44.59,20.04,1.74,56.25,4.21,16,28,1.8,102.39,-57.8,63.27,-57.8,6.16,7.7,-2.93,1.53,2.8,17.1,-2.55,10.22
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=5%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,5,500.0,20,10000.0,10386.14,3.86,4.9,0.71,37.5,1.68,16,44,2.8,102.39,-98.53,22.54,-98.53,1.02,2.15,-2.2,-0.36,0.38,5.07,-3.21,1.27
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=10%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,10,1000.0,10,10000.0,10772.28,7.72,9.36,0.76,37.5,1.68,16,44,2.8,102.39,-94.67,26.4,-94.67,2.04,4.26,-4.27,-0.71,0.75,10.06,-6.08,2.48
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=15%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,15,1500.0,6,10000.0,11483.17,14.83,12.9,1.03,37.5,1.94,16,41,2.6,102.39,-87.56,33.51,-87.56,3.06,6.33,-5.66,-1.05,1.12,14.11,-5.81,3.52
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=20%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,20,2000.0,5,10000.0,12176.8,21.77,13.09,1.27,37.5,2.3,16,38,2.4,102.39,-80.62,40.45,-80.62,4.08,8.77,-5.5,-1.35,1.45,15.84,-5.74,4.47
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=25%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,25,2500.0,4,10000.0,13023.38,30.23,13.73,1.58,37.5,2.79,16,35,2.2,102.39,-72.16,48.91,-72.16,5.1,11.02,-5.57,-1.64,1.76,18.24,-4.68,5.18
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=30%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,30,3000.0,3,10000.0,13580.62,35.81,14.08,1.73,43.75,3.07,16,31,1.9,102.39,-66.58,54.49,-66.58,6.12,13.1,-5.09,-1.36,2.04,16.23,-3.36,5.91
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=BARS_ELAPSED(168) X=50%",EMA_CROSS_SAR,209,223.0,BARS_ELAPSED,168.0,50,5000.0,2,10000.0,14215.63,42.16,18.63,1.78,50.0,4.61,16,24,1.5,102.39,-60.23,60.84,-60.23,6.64,7.66,-2.12,-0.75,2.0,17.86,-2.68,9.58
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=5%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,5,500.0,20,10000.0,16920.75,69.21,16.53,2.29,43.75,4.08,16,266,16.6,102.39,-33.18,87.89,-33.18,16.06,13.42,-7.84,4.63,2.73,14.92,-1.68,15.67
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=10%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,10,1000.0,10,10000.0,16894.86,68.95,16.35,2.27,43.75,4.31,16,136,8.5,102.39,-33.44,87.63,-33.44,15.09,12.88,-6.62,4.1,2.33,15.12,-1.34,15.93
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=15%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,15,1500.0,6,10000.0,16520.75,65.21,15.21,2.3,43.75,4.4,16,86,5.4,102.39,-37.18,83.89,-37.18,15.24,12.84,-5.7,3.45,1.72,13.62,-1.18,14.76
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=20%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,20,2000.0,5,10000.0,16667.67,66.68,17.31,2.22,43.75,4.45,16,71,4.4,102.39,-35.71,85.36,-35.71,13.58,11.56,-5.66,3.8,1.86,15.47,-1.26,16.52
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=25%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,25,2500.0,4,10000.0,16572.41,65.72,17.64,2.24,43.75,4.56,16,56,3.5,102.39,-36.67,84.4,-36.67,12.89,10.89,-5.21,3.66,1.73,15.63,-1.27,16.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=30%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,30,3000.0,3,10000.0,16649.91,66.5,15.56,2.34,43.75,4.72,16,44,2.8,102.39,-35.89,85.18,-35.89,15.51,12.77,-4.66,3.13,1.36,13.55,-1.18,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(1) X=50%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,1.0,50,5000.0,2,10000.0,15964.18,59.64,18.95,2.06,43.75,5.05,16,29,1.8,102.39,-42.75,78.32,-42.75,8.62,7.53,-3.29,3.74,1.45,16.49,-1.56,18.05
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=5%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,5,500.0,20,10000.0,16346.33,63.46,19.37,2.15,43.75,3.72,16,264,16.5,102.39,-38.93,82.14,-38.93,14.84,13.54,-7.79,2.48,2.44,15.53,-1.87,15.02
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=10%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,10,1000.0,10,10000.0,16739.5,67.4,16.94,2.24,43.75,4.06,16,134,8.4,102.39,-34.99,86.08,-34.99,14.96,12.87,-7.78,4.55,2.73,15.14,-1.66,15.87
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=15%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,15,1500.0,6,10000.0,16397.51,63.98,15.17,2.27,43.75,4.18,16,83,5.2,102.39,-38.41,82.66,-38.41,14.93,12.92,-6.64,3.68,2.2,13.67,-1.2,14.45
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=20%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,20,2000.0,5,10000.0,16553.64,65.54,17.04,2.19,43.75,4.25,16,69,4.3,102.39,-36.85,84.22,-36.85,13.42,11.61,-6.62,4.05,2.23,15.55,-1.32,16.32
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=25%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,25,2500.0,4,10000.0,16422.28,64.22,17.54,2.16,43.75,4.27,16,56,3.5,102.39,-38.17,82.9,-38.17,12.8,10.91,-6.33,3.9,1.95,15.77,-1.31,16.67
"[EMA_CROSS_SAR] EMA(209,223.0) | Y=HOURS_ELAPSED(2) X=30%",EMA_CROSS_SAR,209,223.0,HOURS_ELAPSED,2.0,30,3000.0,3,10000.0,16533.17,65.33,15.5,2.31,43.75,4.41,16,44,2.8,102.39,-37.06,84.01,-37.06,15.52,12.78,-5.61,3.18,1.68,13.62,-1.12,14.79
