Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_SAR_LONG_SHORT,5,15,117.79,237.9,136.47,39.23,2.36,3.43,6.06,28.24,1.39,393,14.2,0.22,27.33,-5.93,100.0,5,3,35.1,42.08,6.1,10.72,-5.11,-1.43,-2.33,5.73
EMA_CROSSOVER_SAR_LONG_SHORT,209,223,104.02,205.08,122.69,23.56,2.19,2.99,8.7,43.75,6.1,16,350.0,4.97,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,27.3
EMA_CROSSOVER_SAR_LONG_SHORT,208,224,104.02,205.08,122.69,23.56,2.19,2.99,8.7,43.75,6.1,16,350.0,4.97,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,27.3
EMA_CROSSOVER_SAR_LONG_SHORT,199,233,103.33,203.46,122.0,23.56,2.18,2.98,8.64,43.75,6.02,16,350.0,4.95,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.87
EMA_CROSSOVER_SAR_LONG_SHORT,198,234,103.33,203.46,122.0,23.56,2.18,2.98,8.64,43.75,6.02,16,350.0,4.95,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.87
EMA_CROSSOVER_SAR_LONG_SHORT,208,223,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,209,222,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,200,231,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,202,229,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
EMA_CROSSOVER_SAR_LONG_SHORT,201,230,101.96,200.27,120.63,23.56,2.16,2.96,8.5,43.75,5.87,16,350.0,4.91,31.36,-4.67,100.0,6,2,20.08,18.24,-7.17,3.66,1.09,22.77,-5.48,26.01
