Strategy_Logic,Fast_EMA,Slow_EMA,Total_Return_Pct,CAGR_Pct,Alpha_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Win_Rate_Pct,Profit_Factor,Total_Trades,Avg_Holding_Hours,Avg_Trade_Pct,Best_Trade_Pct,Worst_Trade_Pct,Exposure_Pct,Pos_Months,Neg_Months,Jan_2026,Feb_2026,Mar_2026,Apr_2026,May_2026,Jun_2026,Jul_2026,Aug_2026
EMA_CROSSOVER_LONG_ONLY,5,15,41.45,72.03,60.13,22.27,1.57,1.69,3.23,30.1,1.38,196,14.3,0.21,27.33,-5.93,50.14,6,2,6.29,8.82,7.45,9.35,-7.79,-10.93,7.96,17.39
EMA_CROSSOVER_LONG_ONLY,209,223,38.05,65.6,56.73,16.89,1.58,1.63,3.88,62.5,7.72,8,348.5,4.51,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.8
EMA_CROSSOVER_LONG_ONLY,208,224,38.05,65.6,56.73,16.89,1.58,1.63,3.88,62.5,7.72,8,348.5,4.51,27.9,-4.67,49.79,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.8
EMA_CROSSOVER_LONG_ONLY,198,234,37.82,65.17,56.5,16.89,1.57,1.63,3.86,62.5,7.68,8,348.0,4.48,27.9,-4.67,49.71,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
EMA_CROSSOVER_LONG_ONLY,199,233,37.82,65.17,56.5,16.89,1.57,1.63,3.86,62.5,7.68,8,348.0,4.48,27.9,-4.67,49.71,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.59
EMA_CROSSOVER_LONG_ONLY,200,231,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,199,232,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,210,221,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,201,230,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,209,222,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
EMA_CROSSOVER_LONG_ONLY,205,226,37.35,64.3,56.03,16.89,1.56,1.61,3.81,62.5,7.61,8,347.8,4.44,27.9,-4.67,49.68,5,1,0.16,0.0,0.3,5.61,-4.67,0.0,5.98,28.15
